Querier,Cache log,Generation Time,Mergeability Time,Execution Time
Querier,Cache log,Generation Time,Mergeability Time,Execution Time
Querier,Cache log,Generation Time,Mergeability Time,Execution Time
14813,miss,220.277388,0,143.706799
14813,miss,3.74406,0,5.652809
36401,miss,2.82978,0,40.275765
32083,miss,2.411534,0,5.63586
2561,miss,3.521099,0,18.692776
11835,miss,3.058046,0,4.293642
36401,hit,0,0,11.496646
30117,miss,2.927887,0,4.761014
6556,miss,1.789856,0,10.524542
32741,miss,3.817256,0,4.359521
22335,miss,2.950779,0,4.46162
1995,miss,1.596581,0,4.354897
11660,miss,1.717915,0,3.461476
32779,miss,1.663312,0,3.635746
2561,hit,0,0,4.262013
36401,hit,0,0,3.542646
12054,miss,1.716498,0,10.337945
1160,miss,1.644019,0,3.475155
16948,miss,2.90525,0,4.91369
2561,hit,0,0,3.256662
13471,miss,1.699766,0,4.225785
32741,hit,0,0,3.727733
11835,hit,0,0,3.599142
2836,miss,1.925481,0,3.252123
27309,miss,1.596598,0,3.691244
28513,miss,2.038532,0,17.254521
8071,miss,1.717218,0,5.027944
26371,miss,1.626094,0,3.163801
2836,hit,0,0,3.884338
32779,hit,0,0,3.931481
11835,hit,0,0,3.502796
12054,hit,0,0,2.91892
23907,miss,1.637172,0,5.05519
25223,miss,2.013178,0,3.95002
2836,hit,0,0,4.028086
14813,miss,1.600021,0,3.478295
26555,miss,3.824901,0,4.383535
34039,miss,1.784977,0,2.735644
32083,hit,0,0,4.007642
34568,miss,2.757441,0,3.498528
10287,miss,1.523205,0,4.288216
34280,miss,1.653729,0,2.879002
26366,miss,2.312562,0,3.978916
26366,hit,0,0,3.108735
34380,miss,1.675715,0,4.148014
2836,hit,0,0,4.997147
11660,hit,0,0,3.182312
23907,hit,0,0,3.224739
10287,hit,0,0,3.001235
30250,miss,3.412618,0,3.192059
34039,hit,0,0,3.173985
9163,miss,1.645232,0,2.949137
34568,hit,0,0,2.506182
36401,hit,0,0,3.147784
26366,hit,0,0,3.780048
10287,hit,0,0,2.956922
11835,hit,0,0,3.01537
17778,miss,1.884221,0,3.196753
1160,hit,0,0,2.867462
32779,hit,0,0,2.88322
26371,hit,0,0,2.685615
22735,miss,3.810647,0,3.274784
26371,hit,0,0,2.4757
26366,hit,0,0,3.253469
1995,hit,0,0,3.062027
1766,miss,2.806449,0,3.831508
22335,hit,0,0,2.695782
13471,updation,1.586855,0.022501,3.395173
26366,hit,0,0,2.782653
16662,miss,1.648073,0,9.310936
12141,miss,1.990385,0,3.016168
8881,miss,2.337727,0,3.152425
25113,miss,3.329081,0,3.163016
26366,hit,0,0,2.942569
7432,miss,2.392243,0,4.537263
1160,hit,0,0,3.005124
21672,miss,2.176142,0,3.855511
22335,hit,0,0,3.063878
11383,miss,2.260827,0,2.959077
28393,miss,2.108363,0,2.92513
30250,hit,0,0,3.413941
12054,hit,0,0,3.543465
35244,miss,2.366401,0,3.947027
28114,miss,2.322753,0,3.476677
13708,miss,4.46753,0,4.493875
2857,miss,2.39423,0,3.903654
22335,hit,0,0,3.702791
29864,miss,2.376512,0,2.801535
8881,hit,0,0,2.821519
25223,updation,2.08088,0.007498,3.199963
35470,miss,3.540879,0,3.221844
24514,miss,4.413313,0,3.76566
1455,miss,4.525434,0,3.588275
34679,miss,2.414588,0,3.106846
34039,hit,0,0,3.233115
32779,hit,0,0,3.526357
25956,miss,3.407392,0,3.72351
22735,updation,1.049628,0.005688,4.16575
35470,regenerate,5.366431,0.001262,5.330766
12141,hit,0,0,3.582139
12054,hit,0,0,3.287364
36401,hit,0,0,3.712372
4465,miss,2.467836,0,3.269614
27309,hit,0,0,2.770293
299,miss,2.482206,0,5.431535
21773,miss,2.493141,0,2.758712
29596,miss,2.544803,0,4.148358
26366,updation,0.985299,0.00542,3.522355
12499,miss,2.448557,0,4.999746
16071,miss,2.502974,0,4.580787
29514,miss,3.173696,0,3.941753
33971,miss,3.214221,0,3.63002
25956,regenerate,5.092609,0.002065,4.158416
1023,miss,3.307807,0,3.764045
11835,hit,0,0,2.85743
33971,hit,0,0,2.502224
19345,miss,3.416652,0,4.222723
9189,miss,3.292944,0,3.512885
3822,miss,2.41621,0,3.502019
29596,hit,0,0,3.572706
35689,miss,2.545991,0,3.424268
17778,updation,0.987073,0.005474,3.673197
11315,miss,2.461514,0,3.480871
31418,miss,3.477601,0,4.129663
12813,miss,3.653592,0,4.589725
4494,miss,2.400789,0,5.811338
2857,hit,0,0,3.553025
13944,miss,2.454365,0,4.30004
21672,hit,0,0,3.164328
1995,hit,0,0,2.944659
20239,miss,4.696479,0,4.24449
15486,miss,2.463781,0,3.471493
32741,updation,0.972501,0.005524,2.928431
28114,hit,0,0,2.788454
31086,miss,3.667296,0,2.61151
5124,miss,3.443957,0,3.148184
19345,hit,0,0,4.302265
17463,miss,3.613035,0,2.493714
35689,hit,0,0,2.545045
30707,miss,4.058771,0,2.950441
16662,hit,0,0,3.019359
16377,miss,2.65189,0,3.240604
31418,hit,0,0,2.441512
30720,miss,2.382554,0,2.390495
12499,hit,0,0,3.422178
16948,updation,0.675536,0.005277,2.354361
22735,regenerate,6.581371,0.009708,3.862579
16360,miss,2.761257,0,3.094906
20718,miss,2.712023,0,2.872832
30250,hit,0,0,2.316991
16948,regenerate,4.076314,0.006657,2.774956
21672,hit,0,0,2.512827
28513,updation,0.970711,0.00508,2.267224
9746,miss,4.791617,0,2.515803
20006,miss,2.742884,0,2.936811
35244,hit,0,0,1.896193
23907,hit,0,0,2.494555
17196,miss,4.00588,0,2.5797
10054,miss,2.776305,0,2.692496
13138,miss,3.820797,0,5.690922
20718,hit,0,0,2.784844
12775,miss,3.030532,0,4.696122
8881,hit,0,0,2.741858
18648,miss,5.53036,0,2.862617
28393,updation,1.932657,0.009126,3.709477
22979,miss,2.746736,0,4.25257
12873,miss,3.862691,0,2.536988
453,miss,4.050995,0,4.794669
19719,miss,11.270015,0,4.90947
9189,hit,0,0,3.837163
34679,hit,0,0,4.001633
2561,updation,3.659356,0.013077,3.949926
35689,hit,0,0,4.214276
15486,hit,0,0,3.311895
