Querier,No. of Policies,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,No. of Policies,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,No. of Policies,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,No. of Policies,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
30117,10,miss,452.817744,28.392973,51.564673,0,532.77539,0
30117,10,miss,120.136839,29.360234,49.852798,0,199.349871,0
30117,10,miss,124.226314,19.9748,50.199963,0,194.401077,0
30117,10,miss,109.099632,18.603852,52.154468,0,179.857952,0
30117,10,miss,99.623847,13.839733,49.82804,0,163.29162,0
30117,10,miss,80.252861,12.068492,49.964913,0,142.286266,0
30117,10,miss,76.737193,10.01716,50.432547,0,137.1869,0
30117,10,miss,75.662112,14.463668,51.016422,0,141.142202,0
30117,10,miss,74.027858,10.468928,49.086609,0,133.583395,0
30117,10,miss,89.568212,12.156708,50.711232,0,152.436152,0
30117,10,miss,94.931518,12.813736,51.972694,0,159.71794799999998,0
30117,10,miss,74.775638,10.875368,50.141858,0,135.792864,0
30117,10,miss,86.400422,15.041775,50.800572,0,152.242769,0
30117,10,miss,92.626016,15.261615,51.259586,0,159.147217,0
30117,10,miss,92.029277,13.289731,49.1361,0,154.455108,0
30117,10,miss,128.922752,13.557005,52.63194,0,195.111697,0
30117,10,miss,83.753616,13.896846,51.116507,0,148.766969,0
30117,10,miss,90.175053,12.157221,54.951616,0,157.28388999999999,0
30117,10,miss,90.319283,21.033615,49.55529,0,160.908188,0
30117,10,miss,93.387978,11.993286,54.657446,0,160.03871,0
30117,11,miss,83.891883,10.096004,55.219508,0,149.20739500000002,0
30117,11,miss,94.428026,12.302936,54.702532,0,161.433494,0
30117,11,miss,95.598227,21.636931,54.351221,0,171.586379,0
30117,11,miss,96.867551,19.720093,55.373472,0,171.961116,0
30117,11,miss,96.769507,13.916179,53.719457,0,164.405143,0
30117,11,miss,94.345317,14.762887,53.888559,0,162.996763,0
30117,11,miss,94.955764,13.375997,53.260683,0,161.592444,0
30117,11,miss,78.311108,14.240782,53.691966,0,146.243856,0
30117,11,miss,75.448207,16.824264,52.958199,0,145.23067,0
30117,11,miss,126.190399,13.049101,88.772548,0,228.012048,0
30117,11,miss,88.287355,11.441568,55.772518,0,155.501441,0
30117,11,miss,92.910294,13.578049,53.654825,0,160.143168,0
30117,11,miss,84.769582,11.028052,53.43937,0,149.237004,0
30117,11,miss,95.046004,11.893755,55.527882,0,162.46764100000001,0
30117,11,miss,94.473154,21.41845,54.845789,0,170.737393,0
30117,11,miss,73.831691,9.76396,52.436957,0,136.032608,0
30117,11,miss,78.772796,9.098468,52.873985,0,140.745249,0
30117,11,miss,72.211567,9.028993,52.300809,0,133.541369,0
30117,11,miss,71.611963,9.282384,52.657954,0,133.552301,0
30117,11,miss,91.727728,21.451405,53.754682,0,166.93381499999998,0
30117,11,miss,94.618557,16.52449,54.234807,0,165.377854,0
30117,11,miss,94.043441,21.573201,53.210461,0,168.82710300000002,0
30117,11,miss,117.098333,19.687773,75.404743,0,212.190849,0
30117,11,miss,120.770143,15.202728,54.530199,0,190.50307,0
30117,11,miss,92.515529,12.026736,54.090726,0,158.632991,0
30117,11,miss,95.797534,12.241592,55.908315,0,163.947441,0
30117,11,miss,528.681929,14.546173,55.646849,0,598.874951,0
30117,11,miss,97.251026,12.925064,55.414947,0,165.591037,0
30117,11,miss,95.132275,12.954638,55.996025,0,164.082938,0
30117,11,miss,103.098312,20.942678,63.025228,0,187.066218,0
30117,11,miss,95.158814,29.302373,55.517039,0,179.978226,0
30117,11,miss,99.135192,13.041883,58.038389,0,170.215464,0
30117,11,miss,93.516348,50.796478,54.353786,0,198.666612,0
30117,11,miss,93.80129,19.836896,54.278557,0,167.916743,0
30117,11,miss,96.645045,12.697796,55.696448,0,165.039289,0
30117,11,miss,93.484196,11.866924,53.66243,0,159.01355,0
30117,11,miss,91.825143,12.008159,53.653329,0,157.486631,0
30117,11,miss,94.705711,19.968012,56.208361,0,170.882084,0
30117,11,miss,94.91414,18.875089,53.68203,0,167.471259,0
30117,11,miss,95.782545,14.591126,56.024789,0,166.39846,0
30117,11,miss,88.021016,13.037287,55.965384,0,157.023687,0
30117,11,miss,96.821451,17.279181,56.359106,0,170.459738,0
30117,11,miss,95.3088,14.173117,55.088206,0,164.57012300000002,0
30117,11,miss,95.362261,23.555312,54.983553,0,173.901126,0
30117,11,miss,97.682887,14.723725,56.32474,0,168.731352,0
30117,11,miss,96.85596,13.812995,54.999182,0,165.668137,0
30117,11,miss,95.257311,16.924801,55.362619,0,167.544731,0
30117,11,miss,94.182633,13.775376,53.928522,0,161.886531,0
30117,11,miss,94.530769,13.621945,53.871904,0,162.024618,0
30117,11,miss,95.125915,13.980194,54.274363,0,163.380472,0
30117,11,miss,95.768367,18.912001,54.662871,0,169.34323899999998,0
30117,11,miss,112.532258,13.979035,71.06242,0,197.573713,0
30117,11,miss,95.870479,14.395529,55.121308,0,165.387316,0
30117,11,miss,96.06469,14.208167,55.189742,0,165.462599,0
30117,11,miss,95.11227,19.753047,54.073613,0,168.93893,0
30117,11,miss,98.025923,15.065165,56.36003,0,169.451118,0
30117,11,miss,97.44994,13.487994,55.992182,0,166.930116,0
30117,11,miss,98.665737,13.141712,58.164811,0,169.97226,0
30117,11,miss,97.020015,12.95438,57.386202,0,167.36059699999998,0
30117,11,miss,96.219301,13.373223,55.547163,0,165.13968699999998,0
30117,11,miss,85.715774,11.419341,55.62121,0,152.756325,0
30117,11,miss,105.400888,12.335871,66.269613,0,184.006372,0
30117,11,miss,96.596351,20.97535,56.375567,0,173.947268,0
30117,11,miss,98.927184,14.365294,58.757442,0,172.04992,0
30117,11,miss,96.168362,17.33649,56.750162,0,170.25501400000002,0
30117,11,miss,95.945286,20.85923,55.492405,0,172.296921,0
30117,11,miss,94.561534,20.468662,54.783177,0,169.813373,0
30117,11,miss,97.373601,13.83279,56.389794,0,167.596185,0
30117,11,miss,94.963532,13.51015,54.536237,0,163.009919,0
30117,11,miss,95.726061,13.3153,55.272887,0,164.31424800000002,0
30117,11,miss,94.911447,22.091801,54.428167,0,171.43141500000002,0
30117,11,miss,96.591246,14.823129,54.502989,0,165.917364,0
30117,11,miss,96.638768,16.720295,54.97808,0,168.337143,0
30117,11,miss,96.729591,14.406652,55.872907,0,167.00914999999998,0
30117,11,miss,95.020539,13.696562,55.057635,0,163.77473600000002,0
30117,11,miss,96.330464,15.211291,55.797245,0,167.339,0
30117,11,miss,97.413163,13.948514,56.421676,0,167.78335299999998,0
30117,11,miss,96.309291,21.754003,56.835329,0,174.898623,0
30117,11,miss,94.424192,13.563275,56.345235,0,164.332702,0
30117,11,miss,95.408115,17.227329,55.320207,0,167.955651,0
30117,11,miss,95.71714,13.632252,54.833092,0,164.182484,0
30117,11,miss,94.1676,14.130577,54.357995,0,162.656172,0
30117,11,miss,96.565152,13.130557,56.12298,0,165.818689,0
30117,11,miss,77.087953,15.527497,54.772716,0,147.388166,0
30117,11,miss,99.162822,13.867282,60.117479,0,173.147583,0
30117,11,miss,98.388805,13.34592,56.861544,0,168.596269,0
30117,11,miss,75.972388,11.170485,55.007922,0,142.150795,0
30117,11,miss,75.472788,17.618974,54.599414,0,147.69117599999998,0
30117,11,miss,87.681306,15.136507,55.171251,0,157.98906399999998,0
30117,11,miss,100.249525,13.605743,60.735591,0,174.59085900000002,0
30117,11,miss,98.340571,13.289441,58.094221,0,169.724233,0
30117,11,miss,98.455511,22.051976,59.46251,0,179.969997,0
30117,11,miss,100.235425,16.233369,55.719682,0,172.188476,0
30117,11,miss,99.778298,19.128103,57.699395,0,176.605796,0
30117,11,miss,94.61813,14.1261,54.678912,0,163.42314199999998,0
30117,11,miss,96.196055,14.486442,54.705505,0,165.388002,0
30117,11,miss,97.086008,13.792542,56.998914,0,167.877464,0
30117,11,miss,94.717399,13.784888,54.976512,0,163.47879899999998,0
30117,11,miss,97.427001,12.044577,54.767572,0,164.23915,0
30117,11,miss,87.697034,14.803872,55.407467,0,157.90837299999998,0
30117,11,miss,94.27356,22.047685,56.581268,0,172.902513,0
30117,11,miss,94.792459,13.582001,57.575697,0,165.950157,0
30117,11,miss,94.722513,16.083921,57.16338,0,167.96981399999999,0
30117,11,miss,94.329916,13.277621,57.416485,0,165.024022,0
30117,11,miss,90.628441,24.557088,55.139228,0,170.32475699999998,0
30117,11,miss,92.378319,13.275036,54.999538,0,160.652893,0
30117,11,miss,93.656591,17.870857,56.494314,0,168.02176200000002,0
30117,11,miss,95.396265,25.223972,57.79652,0,178.41675700000002,0
30117,11,miss,94.919701,14.543696,56.484594,0,165.947991,0
30117,11,miss,93.822665,19.57529,55.704687,0,169.102642,0
30117,11,miss,96.995731,11.823043,58.705916,0,167.52469000000002,0
30117,11,miss,97.732666,13.254306,58.625366,0,169.612338,0
30117,11,miss,83.490479,15.55606,55.870754,0,154.91729299999997,0
30117,11,miss,96.952926,25.036855,59.835619,0,181.8254,0
30117,11,miss,93.759999,26.71531,55.43862,0,175.913929,0
30117,11,miss,96.566607,30.333139,55.145521,0,182.04526700000002,0
30117,11,miss,97.610035,12.204697,58.166878,0,167.98161,0
30117,11,miss,97.303398,12.062099,57.527908,0,166.893405,0
30117,11,miss,92.519861,11.548097,58.489623,0,162.55758100000003,0
30117,11,miss,94.425881,16.814205,55.941906,0,167.181992,0
