Querier,Cache log,Generation Time,Execution Time
Querier,Cache log,Generation Time,Execution Time
Querier,Cache log,Generation Time,Execution Time
10054,miss,183.486849,12.428945
21741,miss,6.001847,5.877567
5124,miss,3.701295,5.385609
36401,miss,3.354602,5.74539
13073,miss,4.288823,5.908058
1267,miss,4.107782,5.33967
28194,miss,3.027233,4.158818
15538,miss,4.425764,4.641396
1267,hit,0,3.907522
5124,hit,0,4.381663
35470,miss,3.052491,4.577275
28114,miss,2.961937,3.684282
1267,hit,0,3.035228
2561,miss,3.05196,4.726104
22282,miss,4.061471,3.950907
15538,hit,0,30.481727
22335,miss,3.483935,4.380164
35244,miss,4.036925,4.097878
29936,miss,4.65878,3.942454
34380,miss,4.607666,5.42486
20532,miss,2.976199,4.188192
24802,miss,3.964778,4.251278
1267,hit,0,3.033548
35470,soft-hit,5.638348,4.840898
2561,soft-hit,5.621765,3.885364
17463,miss,3.158051,2.640339
7208,miss,2.72622,6.975507
9746,miss,3.478503,2.665531
26475,miss,5.299708,3.090547
32888,miss,7.451604,6.541933
21672,miss,2.72183,3.044922
26648,miss,2.978861,6.101887
21345,miss,3.648412,4.533493
19719,miss,12.24319,7.2054
30117,miss,2.887416,3.005313
29156,miss,3.09209,5.205898
2124,miss,4.751692,4.394385
12148,miss,2.720495,3.925558
26994,miss,2.817419,4.67555
35836,miss,3.630243,4.028532
14525,miss,4.071524,3.751381
14451,miss,3.438364,3.780629
21773,miss,2.785403,4.248853
28836,miss,3.237905,3.359243
31408,miss,3.27234,3.802765
21396,miss,5.352787,7.084628
11282,miss,3.383108,17.23271
18648,miss,4.965122,3.74738
8881,miss,2.968702,3.589153
13708,miss,4.319275,4.856155
12387,miss,2.765951,3.377721
1351,miss,3.069879,4.871775
5997,miss,2.957243,3.841384
35397,miss,3.105386,4.300644
22019,miss,3.090841,4.014282
34161,miss,3.023134,4.052325
9823,miss,3.04862,7.574119
24802,hit,0,4.529695
8071,miss,4.507846,5.080253
26710,miss,3.088749,6.310261
29372,miss,5.591119,3.497787
28393,miss,4.882026,4.348621
9522,miss,3.734231,3.11225
12487,miss,2.98429,3.682949
3328,miss,3.761248,3.966767
12840,miss,4.306046,5.139929
7327,miss,3.651213,3.078174
32774,miss,3.086588,5.235287
26366,miss,3.807997,3.581117
30134,miss,3.1752,3.481105
8881,hit,0,2.421851
31418,miss,3.117759,3.418575
18654,miss,8.709362,3.87375
27302,miss,3.416909,3.596184
9746,soft-hit,5.033613,4.930224
1351,hit,0,4.641637
23371,miss,4.024279,5.353809
19782,miss,3.364614,4.147076
17778,miss,3.537543,4.51255
5674,miss,4.257306,5.684923
8389,miss,3.865636,3.088132
6650,miss,4.816863,4.031146
12141,miss,3.816884,3.035516
28278,miss,5.61498,96.678865
36401,soft-hit,7.969075,8.225228
19392,miss,4.789527,3.071711
496,miss,7.616785,3.759776
12387,soft-hit,4.845647,3.08947
18654,hit,0,3.214743
35836,soft-hit,5.878978,4.667338
31264,miss,4.400464,3.177983
1160,miss,4.380131,3.01776
1023,miss,5.120565,3.093363
21672,soft-hit,5.847688,3.182563
428,miss,4.942464,4.502651
14996,miss,4.30652,3.620739
12054,miss,3.995048,2.540478
17956,miss,4.087078,2.85518
7366,miss,5.821475,4.522694
7208,soft-hit,5.142469,5.225243
30250,miss,4.151689,3.275056
36371,miss,5.016341,2.740909
30696,miss,7.725626,4.464162
30350,miss,4.161479,14.009215
6650,soft-hit,6.100002,14.327628
11374,miss,5.603101,6.803779
17064,miss,4.548751,4.406596
24802,hit,0,3.059759
3328,soft-hit,6.132005,5.492143
34039,miss,6.104508,3.875255
34058,miss,5.283419,3.506802
30707,miss,6.164571,6.187928
32069,miss,6.115358,9.140512
20532,soft-hit,5.284718,4.186305
27302,hit,0,2.53525
5692,miss,4.519548,3.248659
4167,miss,7.705796,5.49275
6824,miss,8.892954,5.622853
34084,miss,5.389064,4.294782
15574,miss,6.181686,4.922838
6556,miss,6.982343,4.153927
15088,miss,4.561765,3.909588
28836,hit,0,3.3104
30350,hit,0,14.652142
34161,soft-hit,7.116058,4.968177
32779,miss,4.614459,12.523632
4465,miss,5.024174,4.351289
27830,miss,5.438499,4.088487
12387,hit,0,4.233807
30350,soft-hit,11.13341,3.981725
3328,hit,0,5.594395
9746,soft-hit,9.104295,7.817609
17467,miss,5.710762,2.674086
27302,hit,0,3.046198
26475,hit,0,2.786263
26697,miss,6.587489,4.849846
11374,hit,0,7.606905
32774,soft-hit,5.771225,17.666423
5124,soft-hit,4.934477,2.797015
35240,miss,5.072142,3.475622
35240,hit,0,2.89903
18654,hit,0,4.121293
9163,miss,5.271674,2.308386
18306,miss,12.294995,5.780787
21396,soft-hit,5.859571,9.981453
21396,hit,0,2.417834
25223,miss,4.864905,2.334891
19991,miss,5.530162,2.566022
21741,soft-hit,7.609229,5.950417
21672,soft-hit,8.415031,2.992926
30077,miss,5.602601,3.303285
33049,miss,8.028291,4.396164
26697,soft-hit,9.072068,3.002059
6824,hit,0,4.203918
13024,miss,6.548229,5.38172
2836,miss,5.453433,2.3649
28194,soft-hit,5.817911,3.872588
12487,soft-hit,5.281584,2.889732
35240,hit,0,2.651125
4494,miss,7.856368,3.10786
28393,soft-hit,7.910325,5.961231
5352,miss,5.432265,2.794626
13959,miss,5.358641,5.608567
12840,hit,0,3.530377
4095,miss,6.174005,4.636767
27259,miss,5.990544,3.162767
10455,miss,5.51465,2.873428
16692,miss,5.667974,2.056443
30350,soft-hit,8.873289,17.043479
10054,miss,11.729782,3.132979
4465,hit,0,3.841434
34039,soft-hit,10.642838,9.164851
13073,soft-hit,12.482486,6.064286
12054,soft-hit,7.931109,15.956348
6626,miss,7.405753,3.179269
