Querier,Cache log,Generation Time,Mergeability Time,Execution Time
Querier,Cache log,Generation Time,Mergeability Time,Execution Time
Querier,Cache log,Generation Time,Mergeability Time,Execution Time
26710,miss,214.963276,0,12.582939
16622,miss,3.260568,0,5.97576
26371,miss,3.470342,0,5.401488
11835,miss,2.378524,0,4.738068
23907,miss,2.292189,0,5.753439
26371,hit,0,0,3.692397
12141,miss,2.547083,0,3.852024
30250,miss,1.885986,0,3.67389
34679,miss,2.25693,0,4.93902
12054,miss,2.372445,0,4.4617
10287,miss,1.90322,0,4.0834
29260,miss,4.232531,0,4.34055
11282,miss,2.00857,0,3.556697
31102,miss,2.032579,0,3.068869
22735,miss,1.964142,0,4.71991
31418,miss,2.614304,0,29.761128
13572,miss,3.593678,0,5.683696
20718,miss,1.82355,0,3.21775
31086,miss,3.221076,0,4.460623
5766,miss,1.887351,0,3.373705
16662,miss,1.886942,0,4.057214
5997,miss,2.814422,0,3.496561
3328,miss,2.815366,0,4.351279
32069,miss,2.973476,0,3.173704
26710,miss,1.979051,0,3.37839
35796,miss,2.017527,0,2.930463
9939,miss,1.891489,0,3.511263
9726,miss,3.12237,0,4.068277
5692,miss,1.851405,0,2.872151
21773,miss,2.113097,0,3.190924
24802,miss,1.92166,0,4.333758
24514,miss,2.156542,0,3.525999
31102,hit,0,0,3.790147
26555,miss,2.192984,0,4.024247
9823,miss,2.104979,0,3.393293
28513,miss,2.975875,0,3.525621
16622,updation,1.688996,0.024761,6.278106
20718,hit,0,0,3.319002
28393,miss,3.742912,0,6.048114
9746,miss,2.19595,0,3.737727
18648,miss,6.352281,0,3.828918
1455,miss,4.142871,0,4.527326
28393,hit,0,0,4.511082
18306,miss,2.783668,0,2.777116
5654,miss,2.098721,0,3.50198
1351,miss,2.227873,0,4.613456
12148,miss,2.357747,0,3.492754
5674,miss,2.106292,0,5.057639
23907,hit,0,0,3.007591
11650,miss,2.24882,0,3.75532
2124,miss,5.336927,0,3.522148
34397,miss,5.029913,0,6.8375
31086,hit,0,0,3.706052
21672,miss,2.232987,0,3.554342
30250,hit,0,0,3.440874
1455,hit,0,0,3.916331
25956,miss,6.308295,0,4.645278
1023,miss,3.104309,0,6.28371
18306,hit,0,0,3.749346
18654,miss,19.167382,0,4.312295
18648,hit,0,0,17.746175
11315,miss,4.84386,0,3.867036
1995,miss,2.611603,0,3.474719
35546,miss,2.418394,0,3.964902
20532,miss,2.487947,0,3.37649
25113,miss,3.827142,0,8.433681
28393,updation,1.36557,0.010433,4.430866
11660,miss,2.461218,0,6.719561
35796,hit,0,0,3.024296
12054,hit,0,0,3.588596
33850,miss,2.530344,0,2.502942
26366,miss,2.832284,0,3.31587
2857,miss,2.707169,0,3.505863
2857,hit,0,0,3.402315
14813,miss,3.572079,0,3.41614
4494,miss,3.324795,0,3.39638
33418,miss,7.184282,0,10.108002
5124,miss,3.63643,0,3.23936
32083,miss,3.090385,0,3.460554
20006,miss,4.158199,0,6.287358
34039,miss,4.582695,0,3.210215
30707,miss,6.424522,0,10.307995
26096,miss,2.864308,0,4.87173
20006,hit,0,0,4.451255
29156,miss,4.107137,0,6.933343
35470,miss,3.577328,0,2.628246
11315,updation,0.630293,0.008553,10.107145
23203,miss,4.133928,0,3.480929
35796,hit,0,0,2.285453
12387,miss,4.06461,0,3.497929
29596,miss,3.03472,0,4.763124
13024,miss,3.869717,0,3.761951
24514,hit,0,0,3.244181
30117,miss,3.402794,0,2.764181
35689,miss,6.190253,0,5.714636
8071,miss,4.408377,0,4.641619
35397,miss,3.39749,0,2.910667
1040,miss,3.496253,0,3.386836
22282,miss,4.475131,0,3.896284
27302,miss,5.368198,0,2.696308
20532,updation,1.802816,0.008155,4.885752
23203,hit,0,0,4.079988
30117,hit,0,0,2.628628
15538,miss,5.367047,0,4.172111
11835,hit,0,0,3.258522
27302,hit,0,0,7.807187
7598,miss,4.507091,0,3.60204
27302,hit,0,0,2.889335
29260,hit,0,0,3.718083
13138,miss,6.495404,0,4.508551
27309,miss,5.663311,0,4.169421
19719,miss,11.526957,0,4.746239
22764,miss,7.322803,0,142.432459
13944,miss,4.834039,0,3.200828
36401,miss,5.691083,0,3.01323
7366,miss,6.510219,0,5.078506
13708,miss,3.913696,0,3.402397
28114,miss,3.880208,0,3.218589
35397,hit,0,0,4.146041
34912,miss,3.871788,0,5.269907
1023,hit,0,0,4.449265
1160,miss,4.932156,0,3.512598
9746,updation,2.690508,0.011424,5.455455
1766,miss,6.773015,0,5.585618
8830,miss,4.061043,0,3.899612
1766,hit,0,0,6.138094
22305,miss,4.987624,0,11.087516
26994,miss,3.718301,0,5.027688
12108,miss,4.319514,0,3.280543
11650,hit,0,0,3.682322
14930,miss,5.059831,0,3.568977
32634,miss,4.39293,0,3.342693
31086,hit,0,0,2.541623
32069,updation,0.604706,0.007129,3.095434
29864,miss,5.066368,0,3.396849
11135,miss,4.668208,0,3.380081
30736,miss,3.973858,0,3.396186
5654,hit,0,0,3.955962
29864,hit,0,0,3.417884
16920,miss,4.631881,0,3.774454
15574,miss,4.750162,0,2.8873
12054,hit,0,0,2.907414
25113,updation,1.601669,0.015495,8.03768
9476,miss,4.329251,0,8.986696
5654,hit,0,0,3.751335
35836,miss,5.279901,0,4.129167
6096,miss,4.787145,0,2.845086
13138,hit,0,0,3.093266
12813,miss,4.752897,0,9.844912
13708,hit,0,0,3.360289
19991,miss,4.722953,0,4.042647
13409,miss,4.33747,0,3.134033
32818,miss,4.875905,0,2.773359
11650,hit,0,0,3.179424
5674,hit,0,0,3.124638
7327,miss,5.709981,0,2.545843
1455,updation,2.960668,0.014938,5.118179
35240,miss,5.732811,0,2.684547
21773,updation,2.472966,0.009584,3.375839
22549,miss,5.389323,0,2.577321
32888,miss,5.336951,0,5.912645
26648,miss,4.763779,0,3.661752
7327,hit,0,0,4.767527
16920,hit,0,0,3.501585
13824,miss,5.016173,0,11.844386
30077,miss,4.909846,0,3.098496
18131,miss,7.425036,0,5.453827
8881,miss,4.895272,0,3.437035
3914,miss,7.381801,0,20.116037
20532,updation,3.435078,0.030673,10.908232
13944,hit,0,0,6.065092
