Querier,Cache log,Generation Time,Mergeability Time,Execution Time
Querier,Cache log,Generation Time,Mergeability Time,Execution Time
Querier,Cache log,Generation Time,Mergeability Time,Execution Time
32083,miss,214.214199,0,13.135839
27302,miss,4.289958,0,6.538848
9522,miss,7.086805,0,6.553922
30350,miss,2.412728,0,5.385761
10054,miss,2.298264,0,5.139829
35836,miss,2.384359,0,5.434265
9522,hit,0,0,5.067597
4465,miss,2.331732,0,4.994791
34280,miss,3.280231,0,4.829365
25223,miss,3.44241,0,4.422775
13959,miss,2.385668,0,5.607911
32083,miss,3.422541,0,7.201702
34280,hit,0,0,4.342152
26366,miss,2.316554,0,4.947584
5674,miss,4.103656,0,33.473413
13572,miss,4.256751,0,4.779142
18648,miss,6.121458,0,4.907798
26697,miss,2.443615,0,4.162606
24802,miss,3.171147,0,5.125231
32083,miss,3.378872,0,7.557619
16607,miss,2.548731,0,5.075983
20006,miss,2.721257,0,4.638114
17956,miss,2.55711,0,4.154603
7069,miss,2.440988,0,8.282848
26371,miss,3.482196,0,4.697562
34410,miss,2.614684,0,5.063284
20239,miss,3.594432,0,4.241267
11374,miss,2.600879,0,6.52427
6556,miss,3.41692,0,3.920792
9522,updation,2.220803,0.031033,5.335666
13572,hit,0,0,3.265075
11374,hit,0,0,5.99031
21345,miss,2.805885,0,7.429241
6415,miss,4.291515,0,4.264395
30134,miss,2.79668,0,3.407831
14629,miss,5.548541,0,6.742521
1995,miss,3.089411,0,4.004305
29864,miss,4.427613,0,3.606958
34568,miss,3.049106,0,5.287924
17621,miss,3.773582,0,4.581504
13959,hit,0,0,5.070868
30350,hit,0,0,3.334433
9522,updation,5.730425,0.036836,8.110533
17956,updation,1.540605,0.009835,5.427891
7208,miss,3.378713,0,7.21629
28153,miss,5.954373,0,10.623114
34380,miss,3.568501,0,5.442522
26366,updation,1.526013,0.008867,4.645702
26366,regenerate,4.727846,0.009908,5.121094
8620,miss,6.72814,0,8.517917
35240,miss,4.920871,0,11.719266
5706,miss,6.38258,0,5.041133
25956,miss,5.211306,0,3.73147
30311,miss,4.921873,0,17.907351
7432,miss,3.517754,0,3.651776
11315,miss,3.51702,0,4.060618
35244,miss,5.65164,0,5.509483
20532,miss,3.653976,0,3.991728
18648,hit,0,0,3.795713
3328,miss,4.31082,0,3.784767
23519,miss,4.049988,0,4.674559
11629,miss,5.635986,0,6.450924
10490,miss,5.869059,0,126.790328
31408,miss,4.997763,0,3.490703
4465,updation,3.946992,0.015571,15.891552
12840,miss,5.000286,0,6.353006
30696,miss,7.204401,0,4.51801
5706,updation,3.489845,0.013852,5.888738
11595,miss,3.937612,0,3.806706
5997,miss,5.196195,0,4.504083
35836,updation,0.69475,0.007262,3.073696
10490,hit,0,0,124.960981
4095,miss,4.443745,0,4.329548
7432,updation,1.336215,0.00905,3.81142
24388,miss,6.179247,0,4.656469
30134,updation,1.26256,0.009161,4.456083
6096,miss,5.708847,0,5.542377
18306,miss,7.418668,0,6.171456
10285,miss,6.19348,0,4.884378
17225,miss,5.047137,0,10.036101
21741,miss,6.884266,0,4.96161
26555,miss,5.870685,0,3.678946
35240,updation,1.20707,0.010702,6.176134
8389,miss,5.31199,0,5.883024
14813,miss,4.654957,0,6.849087
5131,miss,4.900478,0,7.025667
14930,miss,6.959229,0,7.16887
29987,miss,7.221483,0,4.618302
20532,updation,2.032291,0.00891,3.134826
5131,hit,0,0,5.346353
34397,miss,9.53316,0,7.394103
26555,hit,0,0,3.459303
34058,miss,10.966194,0,4.664311
1912,miss,6.448974,0,3.273589
177,miss,5.545316,0,5.837838
13512,miss,8.348575,0,3.715063
28878,miss,5.519354,0,2.865707
31863,miss,5.650272,0,3.519807
1040,miss,6.705618,0,4.012302
29360,miss,10.716749,0,69.691452
18306,hit,0,0,11.300872
453,miss,7.163295,0,4.411272
35796,miss,7.720815,0,3.544723
35240,regenerate,7.100262,0.022022,6.389197
12054,miss,7.230341,0,11.796168
10490,hit,0,0,131.076501
32741,miss,5.685683,0,5.507283
1040,updation,0.667032,0.009639,4.808182
8197,miss,6.945421,0,6.821079
33733,miss,6.972941,0,4.36711
25223,updation,2.690448,0.015882,8.376918
5654,miss,7.132813,0,5.59658
8389,updation,1.457624,0.011856,15.378348
30250,miss,7.66876,0,3.172345
5997,updation,1.724939,0.015211,4.592544
36401,miss,7.085824,0,2.950957
3822,miss,6.520987,0,9.427961
33971,miss,6.05611,0,7.71976
27830,miss,6.668054,0,4.503375
3822,hit,0,0,8.972916
15011,miss,8.479022,0,28.073084
9189,miss,8.470231,0,11.476929
18648,hit,0,0,4.057842
17778,miss,7.098328,0,6.551572
23907,miss,7.407096,0,4.540249
7598,miss,7.407089,0,6.457715
21773,miss,7.47242,0,4.214457
15486,miss,8.545571,0,8.454582
17064,miss,6.558194,0,4.436419
26710,miss,10.355934,0,11.227585
580,miss,8.629929,0,5.332026
28836,miss,8.869997,0,12.629101
31408,updation,0.637305,0.007615,3.760364
177,hit,0,0,4.224346
30707,miss,11.50531,0,4.594498
20995,miss,9.885926,0,14.663859
19924,miss,8.292887,0,5.180653
34161,miss,10.462223,0,5.035583
22335,miss,6.878376,0,6.37816
12873,miss,8.065524,0,23.444571
18654,miss,14.41461,0,3.853252
4095,hit,0,0,4.619404
5394,miss,7.415133,0,2.881558
15011,hit,0,0,3.071251
6029,miss,8.466068,0,6.797699
18784,miss,10.162123,0,2.773154
28153,updation,7.548774,0.033686,6.574105
6824,miss,10.227597,0,3.472472
19924,hit,0,0,4.56444
11835,miss,8.512676,0,2.355182
24061,miss,8.538255,0,12.744299
7016,miss,8.458638,0,5.17142
14629,updation,3.532315,0.036927,4.854454
22764,miss,9.804107,0,120.544719
33418,miss,15.980594,0,8.330698
29596,miss,8.679249,0,2.912063
1040,updation,1.720408,0.019279,3.513585
24125,miss,7.578909,0,2.331358
14525,miss,9.810385,0,8.112581
16607,updation,1.829648,0.011264,6.322883
19392,miss,8.770497,0,4.441322
11660,miss,9.6037,0,3.503144
1545,miss,11.259526,0,6.144074
30743,miss,9.021582,0,8.342352
34084,miss,9.28332,0,6.60216
