Querier,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
4494,miss,9.339878,7.469783,1.911985,0,18.721646,0
20845,soft-hit,8.422015,5.642564,1.28381,15.348389000000001,0,true
9522,soft-hit,7.253516,5.100919,1.321625,13.67606,0,true
36348,hit,0,5.486227,0,5.486227,0,0
34290,miss,9.664411,6.130347,1.270535,0,17.065293,0
11660,soft-hit,8.312438,5.232408,1.176889,14.721735,0,true
1455,hit,0,5.068393,0,5.068393,0,0
3980,miss,10.144311,7.9252,1.298373,0,19.367884,0
34290,hit,0,6.381762,0,6.381762,0,0
30117,miss,10.727081,7.438269,1.442834,0,19.608184,0
17778,miss,9.550721,5.190215,1.353502,0,16.094438,0
30707,soft-hit,10.493048,8.328423,1.483142,20.304613000000003,0,true
34397,hit,0,7.235635,0,7.235635,0,0
34912,miss,7.800984,7.66192,1.399983,0,16.862887,0
4095,soft-hit,9.720617,6.490558,1.479464,17.690639,0,true
15574,miss,9.175908,6.797495,1.227993,0,17.201396,0
29156,miss,10.007784,7.424308,1.320984,0,18.753076,0
20006,miss,12.635678,8.312906,1.396405,0,22.344988999999998,0
30707,soft-hit,9.345125,9.52134,1.301398,20.167863,0,true
26555,miss,13.128349,8.736272,1.909582,0,23.774203,0
15486,miss,8.975155,5.736395,1.358357,0,16.069907,0
21345,hit,0,6.57873,0,6.57873,0,0
8620,miss,17.53536,19.318182,1.708535,0,38.562077,0
4465,soft-hit,7.336051,5.545756,1.236569,14.118376000000001,0,true
33011,miss,6.94351,5.129977,1.275048,0,13.348535,0
17956,soft-hit,10.434051,5.563199,1.565992,17.563242000000002,0,false
6367,miss,6.451107,4.816315,1.194388,0,12.46181,0
34290,hit,0,3.950448,0,3.950448,0,0
19392,miss,7.417975,6.126927,1.344296,0,14.889198,0
26710,miss,6.974197,5.552408,1.188904,0,13.715509,0
6029,miss,7.324792,4.701593,1.225605,0,13.25199,0
19782,miss,8.741431,5.639279,1.597387,0,15.978097,0
19719,miss,177.552438,7.097276,3.086743,0,187.736457,0
4095,hit,0,4.828806,0,4.828806,0,0
4465,hit,0,5.463108,0,5.463108,0,0
30720,miss,8.086545,4.310103,1.258534,0,13.655182,0
4095,hit,0,5.221832,0,5.221832,0,0
34380,hit,0,4.806688,0,4.806688,0,0
2124,miss,8.323275,4.587059,1.348057,0,14.258391,0
17463,miss,7.796552,6.522115,1.370239,0,15.688906,0
34912,hit,0,5.5794,0,5.5794,0,0
29540,miss,9.815636,4.786736,1.581197,0,16.183569,0
19719,hit,0,5.763876,0,5.763876,0,0
7069,soft-hit,9.369806,4.970891,1.39299,15.733687,0,true
1160,miss,12.469712,6.36447,1.611332,0,20.445514,0
9163,miss,9.036533,5.21918,1.495223,0,15.750936,0
31264,miss,8.321739,3.91431,1.527867,0,13.763916000000002,0
6029,hit,0,4.007057,0,4.007057,0,0
21345,soft-hit,15.078428,7.533407,1.911636,24.523471,0,true
4095,soft-hit,7.609921,4.457153,1.354622,13.421696,0,true
29072,miss,7.335917,5.955498,1.386551,0,14.677966000000001,0
14629,soft-hit,8.773294,3.974555,1.597255,14.345104,0,true
21345,hit,0,6.45244,0,6.45244,0,0
12148,hit,0,4.485535,0,4.485535,0,0
34912,hit,0,5.488163,0,5.488163,0,0
16920,miss,8.123464,4.32295,1.664312,0,14.110726,0
36371,miss,13.776769,4.72383,1.724864,0,20.225463,0
33728,miss,6.587916,3.812423,1.375449,0,11.775787999999999,0
12487,miss,10.981645,5.026912,1.592553,0,17.60111,0
18306,miss,14.542094,7.515807,2.195418,0,24.253318999999998,0
14451,miss,7.966532,4.826581,1.461193,0,14.254306,0
16920,hit,0,4.748411,0,4.748411,0,0
26475,miss,10.694354,4.397201,1.652389,0,16.743944,0
34410,miss,9.616019,5.728552,1.456922,0,16.801493,0
32069,miss,12.271768,4.760574,1.81648,0,18.848822,0
36348,hit,0,4.49236,0,4.49236,0,0
25223,miss,11.701904,5.518255,1.836057,0,19.056216,0
11221,miss,8.557493,4.866678,1.530093,0,14.954263999999998,0
16143,miss,11.761182,6.475632,1.811223,0,20.048037,0
12487,hit,0,5.647155,0,5.647155,0,0
24514,soft-hit,8.695726,4.721924,1.499762,14.917412,0,true
9746,miss,8.313161,3.757078,1.543008,0,13.613247,0
11221,hit,0,4.10099,0,4.10099,0,0
4095,hit,0,3.449865,0,3.449865,0,0
34397,hit,0,5.256248,0,5.256248,0,0
7880,miss,10.256654,5.16186,1.93611,0,17.354624,0
17778,hit,0,4.125915,0,4.125915,0,0
17956,hit,0,5.879694,0,5.879694,0,0
34290,hit,0,4.102183,0,4.102183,0,0
26475,hit,0,3.976765,0,3.976765,0,0
8620,soft-hit,7.491985,4.135575,1.548093,13.175653,0,true
30707,soft-hit,10.208835,5.362889,1.828536,17.40026,0,true
32069,hit,0,5.72435,0,5.72435,0,0
1023,miss,9.94831,6.585221,1.628108,0,18.161639,0
34568,miss,9.053194,7.156164,1.566211,0,17.775568999999997,0
16360,miss,8.431972,6.350564,1.534272,0,16.316808,0
34568,miss,7.658495,4.111441,1.486617,0,13.256553,0
3980,hit,0,5.192417,0,5.192417,0,0
12054,miss,7.559856,4.977469,1.480571,0,14.017896,0
1545,miss,8.123324,5.178132,1.506631,0,14.808087,0
28153,miss,8.899559,7.436584,1.737957,0,18.0741,0
16377,miss,7.962522,15.272638,1.641551,0,24.876711,0
16771,miss,7.276906,4.737548,1.512704,0,13.527158,0
1023,hit,0,6.123316,0,6.123316,0,0
16920,hit,0,4.071286,0,4.071286,0,0
32634,miss,6.259368,4.648303,1.503944,0,12.411615000000001,0
26475,soft-hit,6.327137,3.760623,1.466928,11.554687999999999,0,true
14811,miss,11.432237,98.755006,2.385745,0,112.572988,0
3100,soft-hit,6.853831,4.968431,1.604829,13.427090999999999,0,true
10479,miss,13.975589,4.577867,2.64372,0,21.197176,0
7880,hit,0,5.520557,0,5.520557,0,0
26697,miss,6.614861,3.991445,1.516835,0,12.123141,0
13409,soft-hit,6.561665,4.439167,1.64534,12.646172,0,true
30743,miss,9.16938,5.044337,1.828154,0,16.041871,0
16607,miss,13.468333,6.140354,2.286603,0,21.89529,0
1040,miss,6.964837,3.606002,1.666441,0,12.23728,0
10479,hit,0,5.166672,0,5.166672,0,0
5997,miss,12.607038,8.314592,2.268757,0,23.190386999999998,0
19719,soft-hit,23.801216,8.295876,4.24219,36.339282,0,true
35689,miss,7.117416,3.925208,1.521729,0,12.564353,0
24200,miss,6.479849,4.239048,1.501633,0,12.22053,0
17621,miss,6.920718,3.411133,1.634553,0,11.966404,0
22335,miss,13.357007,4.48263,2.701889,0,20.541525999999998,0
30743,soft-hit,7.392491,4.878546,1.648123,13.91916,0,true
34679,miss,10.102677,5.605968,1.887385,0,17.59603,0
6626,miss,13.093934,4.416816,2.304868,0,19.815618,0
4095,soft-hit,7.644102,4.592619,1.668829,13.90555,0,true
29372,miss,7.09828,4.474361,1.555312,0,13.127953,0
29540,hit,0,5.044656,0,5.044656,0,0
30736,soft-hit,7.440899,4.282526,1.717403,13.440828,0,true
32069,hit,0,4.384018,0,4.384018,0,0
10479,hit,0,4.026525,0,4.026525,0,0
32888,miss,7.973254,5.691459,2.023568,0,15.688281,0
12108,miss,7.192499,5.288016,1.608336,0,14.088851,0
25223,hit,0,4.835222,0,4.835222,0,0
1455,soft-hit,8.029279,3.426365,1.991993,13.447637,0,true
14068,miss,8.563545,3.612756,1.957663,0,14.133963999999999,0
33418,soft-hit,10.315709,5.060479,2.22038,17.596567999999998,0,true
29596,miss,6.868226,5.679408,1.74014,0,14.287773999999999,0
29372,hit,0,3.90793,0,3.90793,0,0
29936,miss,14.413784,5.211488,2.713164,0,22.338436,0
12054,hit,0,4.058111,0,4.058111,0,0
9823,soft-hit,16.336053,8.652457,3.201783,28.190293,0,false
35836,miss,10.477489,4.980535,1.856411,0,17.314435,0
16948,miss,11.758527,5.873628,2.08663,0,19.718785,0
