Querier,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
14813,miss,367.405391,15.729177,1.231204,0,384.365772,0
14813,miss,9.967336,5.24103,1.041849,0,16.250215,0
8620,miss,13.635795,6.427929,1.088401,0,21.152124999999998,0
13748,miss,9.57185,6.551807,1.937491,0,18.061148,0
36401,miss,7.880543,7.498482,0.796251,0,16.175276,0
32083,miss,11.87859,6.301478,1.143586,0,19.323654,0
13748,hit,0,5.512561,0,5.512561,0,0
10054,miss,8.129493,5.834394,0.972965,0,14.936852,0
8620,soft-hit,7.681604,5.211334,0.867929,13.760867000000001,0,true
17778,miss,11.731873,6.175141,0.84273,0,18.749744,0
3822,miss,10.568338,5.484985,0.987657,0,17.04098,0
1267,miss,14.469776,6.240439,1.37137,0,22.081585,0
3822,hit,0,4.748743,0,4.748743,0,0
14246,miss,12.802402,6.643671,1.055311,0,20.501384,0
9522,miss,12.697602,7.462786,1.350722,0,21.511110000000002,0
31102,miss,12.856163,5.91164,1.305332,0,20.073135,0
6096,miss,13.889425,5.067854,1.119627,0,20.076906,0
11221,miss,8.937359,4.931459,0.866046,0,14.734864000000002,0
15538,miss,7.459645,4.454306,0.785751,0,12.699702,0
28836,miss,8.447004,5.427377,0.964986,0,14.839367,0
29864,miss,9.947747,6.442621,1.232929,0,17.623297,0
28836,hit,0,5.940533,0,5.940533,0,0
19719,miss,41.20559,5.377134,2.350168,0,48.932892,0
31102,hit,0,6.433188,0,6.433188,0,0
13138,miss,12.509771,6.527107,1.255266,0,20.292144,0
32741,miss,12.552738,5.675906,1.35071,0,19.579354000000002,0
26555,miss,11.271144,5.415772,1.36422,0,18.051136,0
32741,hit,0,5.79993,0,5.79993,0,0
13138,hit,0,6.305302,0,6.305302,0,0
29372,miss,8.956743,5.548666,1.146095,0,15.651504,0
15538,hit,0,6.221906,0,6.221906,0,0
30696,miss,9.730436,6.749208,1.252544,0,17.732188,0
28878,miss,9.433674,6.737401,1.120741,0,17.291816,0
3914,miss,10.01039,7.859724,1.592503,0,19.462617,0
35244,miss,9.493889,8.27937,1.237544,0,19.010803,0
24200,miss,10.280505,9.01382,1.182197,0,20.476522000000003,0
13138,hit,0,7.996275,0,7.996275,0,0
35240,miss,11.166267,6.446502,1.660615,0,19.273384,0
27259,miss,7.919684,6.642498,1.127817,0,15.689999,0
3100,miss,8.149254,7.262506,1.105067,0,16.516827,0
19719,soft-hit,28.966951,9.423623,2.791687,41.182261,0,true
6096,hit,0,5.463154,0,5.463154,0,0
29372,hit,0,5.878524,0,5.878524,0,0
3100,hit,0,6.050082,0,6.050082,0,0
18784,miss,9.807348,6.551988,1.533797,0,17.893133,0
32816,miss,10.871645,7.015388,1.273148,0,19.160181,0
17778,soft-hit,9.423088,5.962122,1.333232,16.718442,0,true
9163,miss,11.041002,8.891639,1.444965,0,21.377606,0
16142,miss,12.629968,8.712648,1.490176,0,22.832791999999998,0
20845,miss,10.458519,8.359571,1.490127,0,20.308217,0
14246,hit,0,6.654669,0,6.654669,0,0
