Querier,Cache log,Generation Time,Execution Time
Querier,Cache log,Generation Time,Execution Time
Querier,Cache log,Generation Time,Execution Time
11383,miss,400.423873,16.08606
10054,miss,12.059994,4.993265
11383,miss,9.770083,6.100613
20006,miss,8.965229,4.950191
20006,hit,0,5.80851
28393,miss,10.393813,5.479793
2124,miss,8.704325,4.501443
8620,miss,9.175415,4.224868
8620,hit,0,4.792072
2124,hit,0,5.71748
1455,miss,9.547551,4.903519
9868,miss,13.264824,5.783704
1995,miss,14.065357,5.775819
13138,miss,8.263314,4.370673
28194,miss,7.972846,4.63091
11383,miss,7.671561,4.564687
30720,miss,8.154938,4.283377
1455,hit,0,4.612642
28836,miss,7.425623,4.03543
30134,miss,7.01315,4.866956
29936,miss,6.865641,5.36906
6556,miss,8.375523,4.610589
2836,miss,12.612605,5.378681
27309,miss,33.41105,5.603752
6556,hit,0,4.832824
12054,miss,8.626176,5.002632
5766,miss,8.619881,5.336008
31102,miss,8.941019,4.79029
8071,miss,10.618299,5.594448
12387,miss,8.080118,5.573118
17621,miss,9.638542,5.659718
30134,hit,0,5.028032
30134,hit,0,5.558361
453,miss,10.59476,5.324169
16920,miss,9.992888,5.688821
30134,hit,0,5.976391
11835,miss,10.495055,5.734539
14451,miss,10.137683,5.630437
10054,hit,0,5.796529
6029,miss,8.46966,4.858474
14930,miss,8.395168,6.185823
31102,hit,0,5.442647
9522,miss,8.634136,5.157958
11383,miss,8.654975,5.232367
13944,miss,11.058459,6.024849
26555,miss,8.052815,5.005805
453,hit,0,4.433166
7069,miss,7.577452,4.83374
29372,miss,7.637879,4.983024
11374,miss,788.618712,8.444624
18306,miss,16.210111,6.341757
28393,hit,0,5.527483
11650,miss,13.527483,6.002178
29372,hit,0,5.997759
1085,miss,15.344146,5.782558
14930,hit,0,5.982455
6824,miss,12.860726,6.118632
19421,miss,11.44836,5.945036
721,miss,8.422237,4.38252
31264,miss,9.815051,5.049876
32069,miss,13.051008,6.373728
22549,miss,11.484223,5.364039
13944,hit,0,5.565818
8620,soft-hit,11.849886,5.232538
5674,miss,8.688012,4.776365
26366,miss,11.746607,3.66989
11650,hit,0,4.93574
36348,miss,11.277364,5.621034
28513,miss,7.986561,4.687278
29514,miss,6.780746,6.464103
9522,hit,0,7.172284
26555,hit,0,7.096015
4095,miss,9.173935,7.541008
21672,miss,10.05572,7.789163
28393,hit,0,7.288086
13138,hit,0,7.103222
28513,hit,0,8.444748
20532,miss,11.157505,7.205277
32774,miss,10.76356,8.095723
27302,miss,19.613675,6.789939
35836,miss,9.090394,6.196857
15574,miss,8.05043,4.564497
7598,miss,8.737244,6.186871
26555,hit,0,6.809445
28836,hit,0,5.203957
30707,miss,10.104435,5.491769
13512,miss,7.803732,5.360675
14451,soft-hit,10.141553,5.339611
1455,soft-hit,11.171135,5.478446
13708,miss,8.490394,5.15856
1160,miss,10.761216,5.244943
25113,miss,10.935142,7.721853
26366,hit,0,4.78793
26475,miss,8.672864,5.077669
29372,hit,0,5.484547
31264,hit,0,5.295708
6029,soft-hit,12.303997,7.216617
12148,miss,10.080257,5.154216
5997,miss,9.404882,6.507925
13944,hit,0,7.596585
6367,miss,14.113282,9.63703
14930,hit,0,6.832833
31418,miss,8.241345,5.943451
26475,hit,0,7.917599
16607,miss,8.845097,6.339907
29260,miss,9.135985,6.806174
12873,miss,10.20634,7.993933
5766,soft-hit,15.563908,8.233603
13708,hit,0,6.460469
17956,miss,14.318809,7.62303
24514,miss,21.648134,8.353181
15574,soft-hit,11.603822,6.736697
19421,hit,0,6.787346
36401,miss,7.097215,6.424592
27309,hit,0,6.764089
24514,hit,0,7.625787
36401,hit,0,7.250002
13073,miss,9.052991,6.918895
32634,miss,9.691483,7.521058
16071,miss,8.968179,6.510058
12148,hit,0,6.916344
24200,miss,8.958061,5.665194
4889,miss,8.936469,7.386271
2857,miss,8.794865,7.319983
4095,hit,0,6.731298
4095,hit,0,7.526515
32888,miss,14.673814,9.143776
11650,soft-hit,11.323242,9.323995
35836,hit,0,7.702297
7327,miss,11.704346,7.718259
721,hit,0,7.522207
36254,miss,9.945285,6.768641
19421,hit,0,7.119071
31264,soft-hit,12.162596,7.493781
9823,miss,9.34343,7.01772
24514,hit,0,6.586947
28513,hit,0,7.236112
721,hit,0,7.464922
14451,hit,0,6.634978
13944,soft-hit,14.06054,6.885881
1766,miss,15.462152,8.766576
9189,miss,16.050041,8.622617
30707,soft-hit,18.769253,11.567203
5352,miss,9.730577,7.337483
32774,soft-hit,15.106224,8.969762
32774,hit,0,10.447638
2857,hit,0,8.80443
34410,miss,13.526347,9.999218
31408,miss,14.502661,7.864935
7069,soft-hit,14.834688,7.785305
6533,miss,10.448299,8.558636
15814,miss,9.649714,7.57183
14246,miss,9.854369,7.207931
26265,miss,9.667933,7.047429
29936,soft-hit,20.654617,9.635304
7598,hit,0,6.935219
580,miss,10.589095,5.1939
26265,hit,0,7.720963
13138,soft-hit,14.373345,7.249198
26265,hit,0,6.961992
19719,miss,44.27436,9.312855
721,hit,0,8.473703
32774,hit,0,13.596494
12108,miss,17.113546,24.948257
8620,soft-hit,17.228508,5.715007
10287,miss,12.792402,5.70798
13748,miss,10.7849,4.504936
3822,miss,9.683402,4.350711
22549,soft-hit,12.791383,5.267332
6824,soft-hit,14.1205,6.261617
13748,hit,0,6.289158
10455,miss,9.555354,4.165921
453,soft-hit,15.66588,7.478748
34039,miss,14.069908,5.662787
7598,hit,0,5.113587
16607,hit,0,4.765962
23203,miss,10.40292,4.484158
8620,soft-hit,21.749356,6.840646
29514,soft-hit,12.581146,5.171791
6650,miss,13.469662,4.623242
453,hit,0,7.764165
26096,miss,10.294566,5.794546
8881,miss,10.726155,5.607496
