Querier,No. of Policies,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,No. of Policies,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,No. of Policies,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,No. of Policies,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
28393,10,miss,558.333661,48.532865,55.114412,0,661.980938,0
28393,10,miss,127.744869,20.659627,51.294616,0,199.69911199999999,0
28393,10,miss,123.073254,21.629014,54.29237,0,198.994638,0
28393,10,miss,110.766422,18.222311,50.0698,0,179.058533,0
28393,10,miss,113.993331,14.828302,53.303752,0,182.125385,0
28393,10,miss,113.31817,11.911301,51.190199,0,176.41967,0
28393,10,miss,110.337763,10.913578,51.00948,0,172.260821,0
28393,10,miss,85.185885,9.458681,50.203007,0,144.847573,0
28393,10,miss,80.399389,20.53246,50.083722,0,151.01557100000002,0
28393,10,miss,108.125962,17.394034,50.379941,0,175.89993700000002,0
28393,10,miss,89.542883,18.05168,60.491579,0,168.086142,0
28393,10,miss,104.55911,23.345781,50.457767,0,178.362658,0
28393,10,miss,104.763016,18.754622,51.825982,0,175.34362,0
28393,10,miss,104.003269,19.706987,52.27905,0,175.989306,0
28393,10,miss,96.983763,17.668387,50.468735,0,165.120885,0
28393,10,miss,97.500013,17.561828,50.047877,0,165.109718,0
28393,10,miss,104.707085,18.19529,51.981117,0,174.883492,0
28393,10,miss,98.105586,11.555267,52.341935,0,162.002788,0
28393,10,miss,100.358867,14.307187,50.579878,0,165.245932,0
28393,10,miss,98.17405,14.856912,50.936669,0,163.96763099999998,0
28393,10,miss,97.708443,10.54624,49.894102,0,158.148785,0
28393,10,miss,98.819677,22.643379,51.384354,0,172.84741,0
28393,10,miss,113.053664,12.445191,63.657577,0,189.156432,0
28393,10,miss,103.964255,10.723366,53.222766,0,167.910387,0
28393,10,miss,95.707139,10.043485,51.30133,0,157.051954,0
28393,10,miss,95.413341,12.277557,50.548378,0,158.23927600000002,0
28393,10,miss,103.198433,19.824308,53.436788,0,176.45952899999997,0
28393,10,miss,100.318243,10.571967,51.690128,0,162.58033799999998,0
28393,10,miss,97.727874,14.529813,51.606719,0,163.864406,0
28393,10,miss,98.867581,12.496842,50.62341,0,161.987833,0
28393,10,miss,120.007692,18.92889,69.024487,0,207.961069,0
28393,10,miss,78.768644,11.09232,49.848242,0,139.709206,0
28393,10,miss,98.219569,12.581688,51.068333,0,161.86959000000002,0
28393,10,miss,105.020982,19.903374,52.485815,0,177.410171,0
28393,10,miss,97.278908,10.821075,51.737323,0,159.837306,0
28393,10,miss,100.120613,25.415456,51.05043,0,176.586499,0
28393,10,miss,101.805912,33.595116,51.664969,0,187.065997,0
28393,10,miss,90.947081,11.458637,51.581508,0,153.987226,0
28393,10,miss,119.039179,11.70011,69.061197,0,199.800486,0
28393,10,miss,99.445983,20.220546,51.22007,0,170.886599,0
28393,10,miss,98.471218,12.413605,51.389172,0,162.273995,0
28393,10,miss,97.637334,11.399065,51.034526,0,160.070925,0
28393,10,miss,96.538152,12.857056,51.9403,0,161.335508,0
28393,10,miss,96.044178,10.184097,51.398062,0,157.626337,0
28393,10,miss,96.040184,10.586584,50.794434,0,157.421202,0
28393,10,miss,97.501591,10.712546,52.873534,0,161.087671,0
28393,10,miss,96.898414,11.054647,52.314011,0,160.26707199999998,0
28393,10,miss,90.594332,22.516106,50.909729,0,164.02016700000001,0
28393,10,miss,96.396705,18.97127,51.383913,0,166.751888,0
28393,10,miss,88.065934,17.205112,50.670515,0,155.941561,0
28393,10,miss,95.767533,11.224827,51.656088,0,158.648448,0
28393,10,miss,100.230081,12.320951,52.180404,0,164.731436,0
28393,10,miss,99.318857,12.178037,52.378211,0,163.875105,0
28393,10,miss,104.486537,12.433331,51.234772,0,168.15464,0
28393,10,miss,105.63316,11.889937,55.779974,0,173.303071,0
28393,10,miss,99.129074,17.537345,51.543732,0,168.210151,0
28393,10,miss,95.894308,17.098666,52.228153,0,165.221127,0
28393,10,miss,96.871509,12.079989,51.28259,0,160.23408799999999,0
28393,10,miss,94.546728,21.433681,51.37012,0,167.350529,0
28393,10,miss,97.296068,11.390796,51.489889,0,160.17675300000002,0
28393,10,miss,97.121351,24.146152,51.380198,0,172.647701,0
28393,10,miss,101.946377,11.164266,53.254542,0,166.365185,0
28393,10,miss,104.08032,12.690523,55.727162,0,172.498005,0
28393,10,miss,98.634323,11.994855,53.572525,0,164.201703,0
28393,10,miss,100.890378,12.517473,51.140568,0,164.548419,0
28393,10,miss,99.569354,11.693304,51.922346,0,163.185004,0
28393,10,miss,88.107738,23.148296,51.970757,0,163.226791,0
28393,10,miss,101.426503,33.565974,55.492689,0,190.485166,0
28393,10,miss,101.723489,11.856625,53.695338,0,167.275452,0
28393,10,miss,102.964239,12.279739,51.805879,0,167.049857,0
28393,10,miss,101.336478,13.179114,53.552391,0,168.067983,0
28393,10,miss,98.448118,19.092373,53.05165,0,170.592141,0
28393,10,miss,98.842292,12.017259,53.189785,0,164.04933599999998,0
28393,10,miss,101.603101,10.668576,52.49774,0,164.769417,0
28393,10,miss,99.157959,12.085628,52.981333,0,164.22492,0
28393,10,miss,102.409682,12.416608,53.246162,0,168.072452,0
28393,10,miss,102.173307,17.239304,53.575526,0,172.988137,0
28393,10,miss,106.768732,15.115143,56.302441,0,178.186316,0
28393,10,miss,105.409395,12.828097,53.18942,0,171.42691200000002,0
28393,10,miss,100.445566,15.175221,52.787531,0,168.408318,0
28393,10,miss,100.976257,18.227321,54.411642,0,173.61522000000002,0
28393,10,miss,98.706891,17.859769,54.309305,0,170.875965,0
28393,10,miss,101.773913,13.766445,54.56015,0,170.100508,0
28393,10,miss,103.147648,12.480991,54.572506,0,170.201145,0
28393,10,miss,101.268624,14.138212,53.855358,0,169.26219400000002,0
28393,11,miss,143.350718,13.268136,90.006012,0,246.624866,0
28393,11,miss,109.212518,14.040002,58.189838,0,181.442358,0
28393,11,miss,110.77605,20.235189,56.953008,0,187.964247,0
28393,11,miss,108.428827,20.560401,58.197816,0,187.18704400000001,0
28393,11,miss,99.618157,13.419912,56.9933,0,170.03136899999998,0
28393,11,miss,109.08285,14.367681,58.580165,0,182.03069599999998,0
28393,11,miss,107.567232,29.946322,58.212863,0,195.726417,0
28393,11,miss,154.137891,15.681143,105.00589,0,274.824924,0
28393,11,miss,108.075522,15.326462,57.502041,0,180.904025,0
28393,11,miss,112.335533,12.425528,59.261594,0,184.022655,0
28393,11,miss,111.863903,12.36012,58.872613,0,183.096636,0
28393,11,miss,109.247235,12.406009,58.798244,0,180.45148799999998,0
28393,11,miss,109.21938,12.369893,57.560256,0,179.149529,0
28393,11,miss,112.083357,12.451394,58.316268,0,182.851019,0
28393,11,miss,107.479415,33.904467,58.178921,0,199.562803,0
28393,11,miss,108.40495,13.437905,57.314615,0,179.15747,0
28393,11,miss,109.942122,12.217496,59.367372,0,181.52699,0
28393,11,miss,108.199301,11.153391,58.482335,0,177.83502700000003,0
28393,11,miss,105.878921,20.570587,59.98302,0,186.432528,0
28393,11,miss,113.814228,13.637158,62.351718,0,189.80310400000002,0
28393,11,miss,111.147149,11.333911,60.355432,0,182.83649200000002,0
28393,11,miss,122.771986,30.136401,72.690035,0,225.598422,0
28393,11,miss,108.854085,12.274913,57.494535,0,178.623533,0
28393,11,miss,114.582066,12.198317,64.000612,0,190.78099500000002,0
28393,11,miss,107.026787,12.567615,57.683441,0,177.27784300000002,0
28393,11,miss,136.802138,21.76591,86.347858,0,244.915906,0
28393,11,miss,109.181715,11.568178,59.532168,0,180.282061,0
28393,11,miss,108.167377,13.561102,58.196914,0,179.92539299999999,0
28393,11,miss,109.254849,48.359302,59.231077,0,216.845228,0
28393,11,miss,108.644572,18.630697,58.468623,0,185.74389200000002,0
28393,11,miss,109.278424,12.543046,58.842649,0,180.664119,0
28393,11,miss,107.022333,17.476455,59.138178,0,183.636966,0
28393,11,miss,103.336867,12.066492,58.03831,0,173.441669,0
28393,11,miss,116.687626,11.892741,61.957955,0,190.538322,0
28393,11,miss,98.111017,13.603009,57.849331,0,169.563357,0
28393,11,miss,110.468872,17.993793,59.272086,0,187.73475100000002,0
28393,11,miss,129.817015,12.01013,78.662638,0,220.489783,0
28393,11,miss,111.507612,22.085151,62.607276,0,196.200039,0
28393,11,miss,105.846075,13.391165,57.466456,0,176.70369599999998,0
28393,11,miss,112.817583,18.8563,63.285388,0,194.959271,0
28393,11,miss,102.572835,12.137854,61.037997,0,175.748686,0
28393,11,miss,106.034069,10.750515,59.530208,0,176.314792,0
28393,11,miss,104.940653,12.015807,58.330409,0,175.286869,0
28393,11,miss,113.385923,14.983514,66.114293,0,194.48373,0
28393,11,miss,102.659082,9.933777,59.213545,0,171.806404,0
28393,11,miss,103.588789,18.854061,59.204717,0,181.647567,0
28393,11,miss,105.48228,12.310127,58.66908,0,176.461487,0
28393,11,miss,101.228507,14.046231,60.638349,0,175.913087,0
28393,11,miss,105.462839,11.072247,59.394546,0,175.929632,0
28393,11,miss,101.442119,10.480181,58.313831,0,170.236131,0
28393,11,miss,107.020127,21.165276,63.272135,0,191.457538,0
28393,11,miss,118.85214,10.836828,70.969802,0,200.65877,0
28393,11,miss,110.697708,11.232799,61.303331,0,183.233838,0
28393,11,miss,107.215127,11.413342,61.056304,0,179.684773,0
28393,11,miss,110.901608,10.337064,64.125036,0,185.36370799999997,0
