Querier,No. of Policies,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,No. of Policies,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,No. of Policies,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,No. of Policies,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
9726,10,miss,479.131871,41.874151,52.253081,0,573.259103,0
9726,10,miss,130.454635,39.831814,52.185387,0,222.471836,0
9726,10,miss,125.655479,13.0299,50.535117,0,189.220496,0
9726,10,miss,109.354338,14.073934,52.522075,0,175.950347,0
9726,10,miss,104.528194,15.991858,52.455838,0,172.97589,0
9726,10,miss,83.713988,9.328557,52.149392,0,145.191937,0
9726,10,miss,80.455098,10.154543,49.056254,0,139.665895,0
9726,10,miss,89.542436,9.595384,50.125491,0,149.263311,0
9726,10,miss,77.024446,10.181917,51.497719,0,138.704082,0
9726,10,miss,74.116845,15.331397,49.758058,0,139.2063,0
9726,10,miss,91.103513,14.550437,49.493172,0,155.14712200000002,0
9726,10,miss,95.655792,12.276053,50.283276,0,158.215121,0
9726,10,miss,99.816797,14.780306,54.65307,0,169.250173,0
9726,10,miss,96.566504,12.010968,53.160983,0,161.738455,0
9726,10,miss,100.314825,13.343082,56.456865,0,170.11477200000002,0
9726,10,miss,92.857758,20.147507,50.825588,0,163.830853,0
9726,10,miss,95.286987,20.939555,52.760114,0,168.98665599999998,0
9726,10,miss,127.161474,28.373789,84.37276,0,239.90802300000001,0
9726,10,miss,94.483545,17.223861,53.200804,0,164.90821,0
9726,10,miss,97.144082,16.728728,54.431908,0,168.30471799999998,0
9726,10,miss,100.627179,12.056495,56.477352,0,169.161026,0
9726,10,miss,93.278344,16.3594,50.963658,0,160.601402,0
9726,10,miss,93.095398,11.922981,52.503591,0,157.52197,0
9726,10,miss,92.57027,35.403843,50.848287,0,178.8224,0
9726,10,miss,86.940139,9.933576,49.612373,0,146.486088,0
9726,10,miss,89.812061,11.081893,50.386623,0,151.280577,0
9726,10,miss,90.400599,10.5722,50.155713,0,151.128512,0
9726,10,miss,78.986521,9.566719,53.010427,0,141.563667,0
9726,10,miss,73.089799,7.269747,51.44379,0,131.803336,0
9726,10,miss,68.537341,7.46027,49.849688,0,125.84729899999999,0
9726,10,miss,67.321255,7.372344,49.239948,0,123.93354699999999,0
9726,10,miss,68.045999,8.169847,49.766202,0,125.98204799999999,0
9726,10,miss,84.743755,10.091271,50.876828,0,145.711854,0
9726,10,miss,143.768877,17.487246,102.357695,0,263.61381800000004,0
9726,10,miss,90.722925,11.485087,52.026578,0,154.23459,0
9726,10,miss,87.351653,10.710472,50.911765,0,148.97388999999998,0
9726,10,miss,88.747299,12.30291,52.124958,0,153.175167,0
9726,10,miss,87.918885,10.973602,49.970229,0,148.862716,0
9726,10,miss,89.284803,11.459565,52.17924,0,152.923608,0
9726,10,miss,103.532784,17.291668,65.530675,0,186.355127,0
9726,11,miss,93.220525,10.575338,54.365907,0,158.16177,0
9726,11,miss,103.978087,14.616891,64.040451,0,182.635429,0
9726,11,miss,93.28571,10.736051,53.685144,0,157.706905,0
9726,11,miss,93.85392,10.10411,53.451891,0,157.409921,0
9726,11,miss,94.624118,9.253067,61.089451,0,164.966636,0
9726,12,miss,99.963883,19.70247,57.852929,0,177.519282,0
9726,12,miss,102.185744,10.424739,59.723939,0,172.33442200000002,0
9726,12,miss,101.416017,10.645394,59.578222,0,171.639633,0
9726,12,miss,103.8965,10.600372,61.433933,0,175.93080500000002,0
9726,12,miss,106.19083,13.321617,65.375825,0,184.88827200000003,0
9726,12,miss,106.530411,12.795819,60.595691,0,179.921921,0
9726,12,miss,117.991703,12.434623,73.456999,0,203.883325,0
9726,12,miss,104.664728,23.154118,59.844734,0,187.66358,0
9726,12,miss,103.47813,12.834648,60.693012,0,177.00579,0
9726,12,miss,105.953979,12.735785,57.668354,0,176.358118,0
9726,12,miss,102.502418,21.26393,57.521821,0,181.288169,0
9726,12,miss,103.370847,17.908831,57.451273,0,178.730951,0
9726,12,miss,102.343769,12.710387,57.300265,0,172.354421,0
9726,12,miss,90.814279,11.768802,57.693682,0,160.27676300000002,0
9726,12,miss,127.645642,15.723755,84.00753,0,227.376927,0
9726,12,miss,105.847452,17.245614,62.320682,0,185.413748,0
9726,12,miss,100.917044,17.58987,62.524758,0,181.03167200000001,0
9726,12,miss,101.180776,33.047327,57.89504,0,192.123143,0
9726,12,miss,132.684164,17.148984,92.529719,0,242.362867,0
9726,12,miss,145.20488,17.735227,105.438362,0,268.378469,0
9726,12,miss,107.238489,13.717271,65.119812,0,186.075572,0
9726,12,miss,155.074324,11.282958,113.380753,0,279.73803499999997,0
9726,12,miss,103.693103,20.027058,62.3794,0,186.099561,0
9726,12,miss,101.461903,18.298939,59.594329,0,179.355171,0
9726,12,miss,101.874196,14.649579,60.376108,0,176.899883,0
9726,12,miss,100.042857,11.940764,58.308825,0,170.29244599999998,0
9726,12,miss,101.592522,17.600125,59.023273,0,178.21592,0
9726,12,miss,100.387486,12.920568,58.683329,0,171.99138299999998,0
9726,12,miss,100.330175,33.610792,57.863394,0,191.804361,0
9726,12,miss,139.736718,19.574487,94.763367,0,254.074572,0
9726,12,miss,106.133877,15.141383,58.044463,0,179.319723,0
9726,12,miss,103.716425,22.102996,61.00087,0,186.820291,0
9726,12,miss,93.082059,15.821935,59.171988,0,168.075982,0
9726,12,miss,100.421045,13.278776,59.057478,0,172.757299,0
9726,12,miss,105.118754,14.52523,60.110127,0,179.754111,0
9726,12,miss,105.966601,10.3466,75.677208,0,191.990409,0
9726,12,miss,95.975218,11.614627,58.325535,0,165.91538,0
9726,12,miss,101.887096,17.228098,59.311561,0,178.426755,0
9726,12,miss,99.796682,19.167146,58.546239,0,177.510067,0
9726,12,miss,101.300194,11.867007,58.0184,0,171.18560100000002,0
9726,12,miss,101.378915,11.156207,59.694164,0,172.229286,0
9726,12,miss,103.556941,19.568136,60.056136,0,183.181213,0
9726,12,miss,101.589049,11.679504,58.354484,0,171.623037,0
9726,12,miss,101.204272,16.089172,58.338599,0,175.632043,0
9726,12,miss,101.790415,12.417,59.400647,0,173.608062,0
9726,12,miss,101.998997,13.703272,58.728018,0,174.43028700000002,0
9726,12,miss,111.930636,23.90363,68.108162,0,203.942428,0
9726,12,miss,157.808411,11.916684,114.141361,0,283.866456,0
9726,12,miss,106.121169,16.967613,62.853294,0,185.942076,0
9726,12,miss,104.612354,12.435398,60.847631,0,177.89538299999998,0
9726,12,miss,124.709665,18.000931,80.916769,0,223.627365,0
9726,12,miss,102.030195,16.739489,58.667855,0,177.43753900000002,0
9726,12,miss,100.732988,25.943828,58.362364,0,185.03918,0
9726,12,miss,113.755935,12.177205,67.899439,0,193.832579,0
9726,12,miss,102.905279,18.559793,58.580853,0,180.045925,0
9726,12,miss,104.171605,12.420283,60.097447,0,176.689335,0
9726,12,miss,107.29499,17.746029,63.485312,0,188.526331,0
9726,12,miss,106.874046,13.397015,62.916676,0,183.18773700000003,0
9726,12,miss,103.172797,12.387471,60.565289,0,176.12555700000001,0
9726,12,miss,104.274136,22.251541,59.596494,0,186.12217099999998,0
9726,12,miss,84.238799,14.890425,62.551554,0,161.680778,0
9726,12,miss,100.313914,30.819858,58.815476,0,189.949248,0
9726,12,miss,107.343633,16.596267,64.560264,0,188.50016399999998,0
9726,12,miss,106.704371,24.332141,62.630584,0,193.66709600000002,0
9726,12,miss,107.738798,12.613565,65.442741,0,185.79510399999998,0
9726,12,miss,106.615836,21.299593,63.203321,0,191.11875,0
9726,12,miss,107.083638,22.381771,63.390471,0,192.85588,0
9726,12,miss,105.986045,12.611515,63.376712,0,181.97427199999998,0
9726,12,miss,106.384027,11.599229,63.103554,0,181.08681,0
9726,12,miss,102.384419,11.392469,59.280447,0,173.057335,0
9726,12,miss,105.818209,12.243569,66.203132,0,184.26491,0
9726,12,miss,105.805065,22.369251,60.799947,0,188.974263,0
9726,12,miss,104.223693,21.522733,60.49746,0,186.24388599999997,0
9726,12,miss,112.610376,15.933313,63.246313,0,191.79000200000002,0
9726,12,miss,106.947832,12.511649,63.931545,0,183.391026,0
9726,12,miss,113.258271,18.492308,70.249401,0,201.99998,0
9726,12,miss,103.515038,17.243779,60.92211,0,181.680927,0
9726,12,miss,221.298457,15.91325,62.144413,0,299.35612000000003,0
9726,12,miss,106.937929,13.53584,64.015038,0,184.488807,0
9726,12,miss,102.467037,12.598642,59.595135,0,174.66081400000002,0
9726,12,miss,104.823595,12.503807,61.246242,0,178.573644,0
9726,12,miss,103.199867,21.771183,59.60922,0,184.58026999999998,0
9726,12,miss,103.562738,13.202447,60.5085,0,177.273685,0
9726,12,miss,108.343826,12.710895,64.677719,0,185.73244,0
9726,12,miss,101.375081,12.459725,59.542668,0,173.377474,0
9726,12,miss,145.722334,13.28136,102.545181,0,261.54887499999995,0
9726,12,miss,111.957786,18.107204,71.404732,0,201.469722,0
9726,12,miss,86.11359,8.796081,61.867341,0,156.777012,0
9726,12,miss,97.507993,11.862259,60.146074,0,169.516326,0
9726,12,miss,109.397978,17.96592,66.140072,0,193.50396999999998,0
9726,12,miss,105.434154,13.515464,62.04833,0,180.997948,0
9726,12,miss,107.513995,16.297529,60.102848,0,183.91437200000001,0
9726,12,miss,104.154101,12.178517,60.183334,0,176.515952,0
9726,12,miss,105.026792,15.107407,62.989879,0,183.124078,0
