Querier,Cache log,Generation Time,Mergeability Time,Execution Time
Querier,Cache log,Generation Time,Mergeability Time,Execution Time
Querier,Cache log,Generation Time,Mergeability Time,Execution Time
14930,miss,217.575647,0,14.144112
20718,miss,5.886412,0,7.083792
30720,miss,5.012503,0,6.310655
26171,miss,5.692366,0,6.628934
14629,miss,2.540208,0,4.412541
25956,miss,4.068631,0,5.284265
9726,miss,4.430564,0,4.676767
28836,miss,7.75037,0,4.833102
30311,miss,3.47387,0,4.920476
16692,miss,7.291304,0,5.421933
31418,miss,3.036412,0,4.152321
19719,miss,12.101922,0,5.763195
16377,miss,4.15112,0,4.420946
21345,miss,5.323267,0,4.917853
28153,miss,3.553614,0,7.333219
17064,miss,4.326243,0,5.227082
5692,miss,3.678666,0,4.977108
34280,miss,8.916975,0,5.91432
30696,miss,6.373717,0,4.399595
9522,miss,6.668724,0,7.678102
22282,miss,4.23121,0,4.859205
26710,miss,4.102998,0,4.528585
4889,miss,4.21584,0,4.53375
12387,miss,4.598808,0,4.062213
13471,miss,6.155035,0,6.184148
11835,miss,5.002991,0,4.057645
12874,miss,4.643051,0,7.092272
31264,miss,5.591291,0,6.332905
32069,miss,6.515929,0,3.838616
8620,miss,6.542968,0,3.847636
9476,miss,5.177757,0,5.549469
7880,miss,6.115444,0,5.762248
9189,miss,7.352137,0,5.719079
28020,miss,6.188446,0,4.554549
12874,hit,0,0,5.826789
26555,miss,6.554231,0,3.259473
17196,miss,7.888067,0,5.520273
35470,miss,8.920105,0,4.078344
29260,miss,6.881416,0,5.119634
18131,miss,7.034434,0,4.778343
20532,miss,8.757308,0,5.673613
26555,hit,0,0,5.211626
1408,miss,6.781052,0,20.790561
31408,miss,12.768582,0,8.158496
24514,miss,10.709293,0,3.965993
17956,miss,8.345476,0,43.079712
1581,miss,7.380671,0,3.912397
9939,miss,12.392193,0,4.939744
3914,miss,9.615837,0,31.780162
16771,miss,10.884141,0,4.818174
18654,miss,12.841976,0,4.513909
10455,miss,7.78168,0,4.74816
5704,miss,10.832827,0,4.099375
29540,miss,7.92668,0,3.575509
1912,miss,10.455916,0,5.434554
29372,miss,11.808133,0,16.817571
12108,miss,11.21041,0,25.75989
35689,miss,10.11853,0,6.511716
34084,miss,10.213401,0,6.593538
12141,miss,13.086616,0,8.135765
23540,miss,11.86585,0,11.084272
4331,miss,10.073343,0,4.108982
1995,miss,12.501208,0,4.077184
14601,miss,10.413369,0,4.427367
28836,updation,4.243978,0.050509,10.923384
32888,miss,9.953286,0,7.766216
8881,miss,16.086207,0,4.189808
11282,miss,11.431809,0,4.428764
1545,miss,13.141504,0,4.900888
8620,updation,3.338593,0.032614,4.932576
2102,miss,12.780864,0,31.070762
5997,miss,14.94705,0,20.087856
9178,miss,16.614912,0,4.908896
10490,miss,14.698064,0,155.87259
8197,miss,10.973588,0,6.359885
11629,miss,10.945907,0,6.938501
22979,miss,17.869732,0,8.526455
8830,miss,13.497553,0,6.406999
34410,miss,14.564017,0,11.156549
19368,miss,13.315649,0,16.734346
11221,miss,18.48115,0,4.387838
12873,miss,15.05963,0,14.967427
14601,hit,0,0,3.584594
29864,miss,18.713562,0,5.126119
19345,miss,15.450174,0,13.1325
1040,miss,20.813777,0,29.288944
33418,miss,18.901375,0,14.057065
31408,updation,2.5545,0.022839,6.831377
34647,miss,16.696192,0,17.765264
30707,miss,19.345034,0,4.16129
34679,miss,18.66423,0,10.158428
34380,miss,19.224407,0,4.544663
26371,miss,12.635913,0,3.106338
7016,miss,18.660419,0,13.373406
11221,updation,1.203001,0.02975,37.019394
19963,miss,15.76708,0,11.156439
32888,hit,0,0,7.298405
9375,miss,16.153488,0,3.699986
1995,updation,2.616435,0.029795,4.65036
20995,miss,15.395415,0,17.282036
12108,updation,0.60919,0.01511,5.285609
26697,miss,19.768352,0,16.402332
34084,updation,1.315687,0.026975,5.057233
4702,miss,23.422847,0,13.37554
10479,miss,18.415593,0,10.943586
26475,miss,19.497021,0,20.693753
17798,miss,16.645834,0,9.311066
23952,miss,15.899134,0,4.175056
3328,miss,17.762995,0,107.47137
15574,miss,16.980485,0,4.77988
7327,miss,23.152228,0,18.195165
26697,updation,1.138743,0.03313,16.381462
13959,miss,21.63497,0,49.892439
29596,miss,19.619809,0,17.030033
26994,miss,18.915209,0,42.001353
30311,updation,6.77513,0.024174,5.424485
18306,miss,35.813453,0,21.624148
22335,miss,26.893268,0,45.784278
9476,updation,4.304412,0.038266,5.152484
34772,miss,16.547123,0,2.702755
4141,miss,19.27004,0,5.256173
13572,miss,22.990394,0,5.435756
11650,miss,21.797024,0,24.323892
14246,miss,21.714253,0,50.203794
3680,miss,22.386238,0,155.534516
9868,miss,21.252676,0,5.840032
32779,miss,23.200039,0,12.170349
28393,miss,26.158031,0,7.638927
10490,hit,0,0,160.029293
31408,updation,2.45016,0.052947,10.931379
17196,updation,2.028825,0.05933,5.471866
23952,hit,0,0,3.887442
7880,updation,2.48011,0.133215,8.710903
26555,updation,3.500536,0.008543,16.724513
14515,miss,20.681133,0,14.29648
21741,miss,30.961532,0,5.99714
17798,hit,0,0,6.730203
9746,miss,22.07503,0,22.629692
1912,updation,2.160483,0.010906,23.534939
13138,miss,27.060624,0,9.299081
34679,updation,2.842068,0.016929,36.107315
33418,updation,1.109452,0.008489,12.364114
19345,updation,1.552231,0.007975,4.420698
1267,miss,27.592468,0,5.693125
5131,miss,21.281654,0,26.070272
21345,updation,1.088839,0.006644,10.236325
2427,miss,24.55854,0,4.840039
23519,miss,22.193787,0,27.181657
22979,updation,3.852626,0.021433,19.582643
35397,miss,23.483612,0,3.439266
1408,updation,1.929448,0.004955,5.715685
18648,miss,35.667023,0,46.332527
9178,hit,0,0,2.834397
1766,miss,26.013939,0,5.57454
16228,miss,22.532786,0,49.486921
5704,updation,4.786139,0.022693,28.914652
19345,regenerate,25.964918,0.016133,5.625811
6650,miss,31.349912,0,83.083606
26265,miss,33.184285,0,9.565793
28335,miss,25.669316,0,27.691794
27046,miss,22.869848,0,32.77699
23519,updation,0.604855,0.009002,7.016096
17467,miss,25.052996,0,7.932025
