23,178,297,37,1099
34,139,107,29,860
37,156,234,25,961
38,174,163,37,1074
43,156,327,32,963
53,157,141,28,969
56,191,288,8,1150
69,188,158,33,1160
76,145,111,25,893
77,172,351,32,1059
80,151,114,30,930
81,175,213,35,1081
87,182,149,42,1125
100,165,131,30,1017
114,102,179,8,617
118,177,135,39,1094
120,185,325,41,1142
133,187,138,14,1136
140,195,158,41,1203
141,245,312,14,1477
142,182,663,33,1120
149,149,191,30,918
157,184,310,37,1134
171,210,171,38,1294
173,180,166,38,1113
177,189,583,25,1153
180,147,154,32,910
185,244,658,26,1487
186,177,171,32,1090
193,186,250,36,1147
210,176,154,35,1085
216,152,242,31,938
217,160,160,31,988
235,206,479,39,1271
251,212,196,39,1308
257,166,419,20,1010
262,206,168,19,1252
263,185,160,32,1140
265,275,210,24,1668
280,170,357,35,1051
299,158,493,30,976
300,193,189,38,1195
314,150,134,28,925
317,178,158,34,1100
326,213,418,41,1315
353,196,191,40,1209
355,189,174,37,1169
356,231,695,43,1425
364,169,662,32,1044
372,209,194,40,1290
387,197,163,40,1213
393,202,171,41,1246
401,147,349,26,905
402,174,124,30,1070
416,230,174,44,1419
428,186,180,17,1131
432,213,174,17,1292
433,186,360,16,1131
439,201,186,40,1243
453,251,460,44,1545
459,224,192,47,1387
466,158,126,30,975
474,192,141,30,1178
479,189,144,8,1138
496,164,134,22,1006
501,153,121,16,933
532,207,177,37,1275
542,230,195,44,1420
544,205,175,37,1264
550,222,300,41,1366
555,187,193,21,1141
560,207,197,37,1273
568,230,200,37,1414
580,233,195,43,1435
588,132,151,25,816
597,131,453,16,800
612,202,214,39,1248
614,264,267,49,1627
625,234,268,17,1419
633,167,117,20,1020
634,241,203,42,1485
637,238,223,41,1464
638,188,129,33,1157
640,227,171,25,1383
649,137,97,26,845
651,228,1238,44,1408
653,169,394,37,1049
654,258,246,46,1591
656,150,164,16,915
673,231,407,42,1423
675,243,181,12,1469
676,221,199,38,1358
677,234,260,44,1445
690,245,281,45,1510
696,259,420,40,1589
698,236,253,41,1451
707,151,141,3,909
710,250,220,34,1530
717,162,168,34,1000
719,153,174,25,941
721,224,231,45,1385
727,131,124,28,809
731,183,155,32,1127
739,194,173,24,1183
740,140,240,29,865
741,224,165,41,1382
746,170,158,35,1052
755,188,244,7,1132
761,151,700,29,932
783,205,251,34,1261
786,195,202,36,1200
795,220,188,47,1363
798,194,194,22,1182
803,225,311,15,1362
814,218,286,42,1348
827,184,281,37,1136
828,248,213,42,1527
836,139,124,17,846
857,179,181,33,1104
864,137,273,32,850
865,220,222,42,1359
870,121,104,24,747
887,112,94,25,693
888,180,161,34,1113
906,159,1194,34,983
909,165,208,39,1023
912,128,109,28,793
922,166,206,40,1029
935,112,203,26,692
945,164,267,33,1011
947,80,115,18,495
955,105,86,21,648
958,211,282,42,1303
989,230,302,41,1416
999,143,128,27,883
1008,217,325,35,1333
1023,202,200,39,1248
1028,181,179,8,1090
1037,166,125,25,1020
1040,188,237,36,1161
1041,279,299,47,1719
1044,151,214,13,910
1051,184,153,39,1138
1063,164,119,8,990
1070,152,245,21,928
1073,130,108,8,784
1074,147,137,27,908
1079,287,560,5,1718
1081,223,186,36,1370
1082,154,161,32,950
1085,150,133,33,925
1088,143,109,29,881
1093,81,65,19,502
1100,192,184,35,1185
1123,220,198,17,1333
1131,201,258,42,1244
1133,192,169,16,1165
1152,265,266,25,1608
1158,161,158,13,976
1160,122,109,26,754
1162,172,201,32,1060
1173,230,294,28,1404
1184,239,279,42,1472
1202,132,109,28,818
1204,97,94,20,600
1208,218,285,40,1347
1211,198,177,16,1201
1220,192,204,37,1186
1224,191,257,8,1145
1235,185,174,7,1111
1239,121,102,24,748
1253,247,323,47,1525
1261,273,272,27,1660
1266,165,233,28,1018
1267,206,213,42,1272
1269,149,127,26,918
1271,192,371,34,1184
1278,211,201,36,1298
1287,239,221,46,1478
1291,150,388,31,926
1312,183,138,14,1106
1315,280,283,44,1719
1319,148,117,25,911
1331,255,201,45,1572
1333,146,156,29,901
1337,183,184,34,1130
1343,178,182,33,1097
1351,190,166,22,1154
1378,164,171,28,1011
1383,207,172,31,1272
1388,190,161,35,1171
1393,139,156,13,839
1406,213,182,44,1318
1408,123,95,6,737
1411,211,164,29,1294
1412,182,205,24,1114
1416,158,138,28,975
1420,110,92,8,664
1448,137,118,26,846
1455,192,516,35,1183
1467,152,132,32,940
1479,202,172,33,1240
1482,210,393,39,1298
1487,194,226,34,1195
1489,227,207,39,1400
1492,135,147,13,819
1494,214,315,41,1321
1497,277,380,45,1702
1500,188,180,31,1158
1505,200,493,37,1234
1523,178,172,36,1100
1535,226,195,46,1400
1545,230,198,46,1420
1563,253,374,46,1559
1568,220,184,43,1357
1574,286,268,47,1759
1576,206,215,39,1271
1578,193,146,37,1193
1581,231,197,46,1425
1594,210,571,8,1265
1599,250,325,45,1541
1605,181,292,22,1104
1609,213,228,39,1313
1625,257,361,46,1584
1627,194,481,40,1200
1642,202,276,35,1245
1645,219,1780,31,1344
1649,214,273,37,1317
1663,194,692,37,1198
1676,172,1872,36,1065
1682,212,825,39,1309
1691,186,572,32,1146
1694,236,473,43,1455
1696,219,217,40,1347
1698,199,251,38,1226
1704,201,248,8,1210
1705,184,177,19,1118
1736,215,397,40,1325
1748,191,348,40,1181
1766,150,259,28,925
1767,239,858,30,1458
1785,219,322,44,1356
1812,172,147,30,1059
1826,197,192,41,1218
1828,245,185,33,1501
1842,126,111,25,778
1844,226,213,14,1366
1849,221,550,43,1367
1852,227,205,41,1398
1855,195,176,40,1206
1867,273,264,48,1681
1869,197,324,14,1190
1896,296,238,52,1824
1899,202,176,42,1250
1901,216,229,39,1331
1905,210,170,16,1275
1910,245,650,38,1505
1912,170,172,33,1050
1952,199,216,35,1224
1956,168,150,21,1022
1958,169,167,34,1045
1960,263,212,50,1622
1986,214,178,43,1324
