Querier,Cache log,Generation Time,Execution Time
Querier,Cache log,Generation Time,Execution Time
Querier,Cache log,Generation Time,Execution Time
28836,miss,518.842833,33.285374
3680,miss,110.307809,23.30829
24200,miss,115.44175,20.900816
22764,miss,104.364559,33.812866
33049,miss,94.642125,27.064023
18648,miss,78.385885,35.09442
29596,miss,159.355577,29.615038
34161,miss,103.819832,17.478735
2108,miss,101.378183,24.212272
8830,miss,75.058746,12.092881
16692,miss,99.199014,62.266585
7327,miss,104.276135,22.400739
19719,miss,110.911052,62.201708
9189,miss,97.817303,13.616672
1023,miss,99.539379,13.971841
2427,miss,94.442475,32.458159
25113,miss,94.343119,15.454978
22019,miss,94.257934,10.431555
33728,miss,95.853312,30.594885
27830,miss,92.667579,16.176338
25956,miss,99.995191,49.201759
22979,miss,91.152869,55.281747
18852,miss,94.272638,15.378929
1267,miss,91.94106,35.082073
8830,soft-hit,93.565027,17.522733
18575,miss,91.591153,52.71852
14601,miss,89.165647,10.553128
23203,miss,81.467958,20.075513
35836,miss,99.707683,25.562167
29596,soft-hit,75.905505,25.99
28393,miss,106.764469,16.056762
177,miss,90.873131,12.087902
9178,miss,95.344587,35.39123
27259,miss,91.071866,46.165093
18852,soft-hit,78.331627,14.221436
15088,miss,94.791835,23.767612
22979,soft-hit,93.610555,48.539362
25113,soft-hit,90.444561,15.389458
32069,miss,99.146704,11.925824
4465,miss,75.884463,15.050273
28513,miss,83.852488,13.82535
28247,miss,94.585398,17.458554
36241,miss,93.999863,229.415102
7880,miss,100.693268,12.57447
33011,miss,95.293983,34.515014
24802,miss,97.36436,17.882998
23371,miss,93.52062,16.592779
14246,miss,93.90505,55.34919
32774,miss,90.692873,20.667626
21475,miss,102.501155,21.200777
803,miss,93.879224,22.329098
33049,soft-hit,89.830606,25.893013
26710,miss,107.202772,926.396758
36401,miss,91.867453,22.689075
1545,miss,88.807086,17.531694
19719,hit,0,66.66003
34772,miss,93.028252,91.672469
23969,miss,93.857402,17.77341
16360,miss,101.721336,16.820068
12840,miss,93.623532,16.087309
17196,miss,91.669484,16.651591
25811,miss,90.369808,21.206084
32779,miss,90.869081,24.388407
11835,miss,70.754785,22.107385
19719,hit,0,70.448175
25113,soft-hit,92.689151,17.510209
2108,soft-hit,91.741002,27.376599
16749,miss,92.113893,14.910678
14629,miss,105.591662,48.81604
35689,miss,92.728925,114.620762
9823,miss,91.279535,20.20141
1581,miss,89.881553,15.379406
31863,miss,91.320321,57.848802
34912,miss,91.742478,48.191078
19924,miss,88.978007,222.400967
9746,miss,91.536468,88.30431
364,miss,85.722169,26.548701
33049,soft-hit,92.907739,25.723136
14451,miss,112.833643,23.073536
23791,miss,94.180825,16.42735
11660,miss,91.691052,16.931832
4415,miss,94.169393,17.844248
16505,miss,91.591628,21.291502
15486,miss,90.099823,42.738309
8389,miss,73.801568,16.686601
20011,miss,93.14437,31.45559
29864,miss,93.537672,19.612117
1023,soft-hit,93.296135,43.520618
2108,soft-hit,94.747832,27.754449
22305,miss,90.371951,29.643154
16771,miss,88.963461,16.859591
30088,miss,91.358247,32.780577
25357,miss,93.833676,68.065787
19991,miss,92.470437,17.370177
18530,miss,89.100206,28.38732
19744,miss,94.870752,25.426173
27259,soft-hit,90.256967,50.021249
33418,miss,110.721604,31.420804
13512,miss,117.380526,17.002898
4178,miss,97.201821,89.142987
7310,miss,87.437097,13.739448
24388,miss,90.687823,17.438349
29260,miss,98.984969,24.988795
23791,soft-hit,91.807149,15.097781
16771,soft-hit,86.408942,31.278
5124,miss,87.562259,56.473654
33971,miss,101.578826,16.39795
13944,miss,106.230622,33.653253
13353,miss,92.802116,233.266416
26475,miss,81.765517,21.852741
19991,soft-hit,92.140483,16.82353
13138,miss,89.627116,14.679011
25956,hit,0,44.072253
12873,miss,95.510412,331.834889
16142,miss,93.384709,21.573489
23540,miss,87.523865,37.771505
10455,miss,86.844975,15.829165
33418,hit,0,31.307969
3680,soft-hit,79.30952,14.466147
5766,miss,87.849843,42.633496
28153,miss,94.207746,17.645822
28836,miss,88.24748,14.268349
30117,miss,87.719785,26.573361
4178,hit,0,87.399534
2427,soft-hit,86.914139,27.034509
23540,soft-hit,85.461507,32.288163
24125,miss,89.900375,79.471676
13138,soft-hit,87.651264,17.327134
1081,miss,89.451274,15.351605
10455,soft-hit,87.496603,14.023545
17225,miss,96.570742,18.024776
31418,miss,91.145148,167.616719
32069,soft-hit,101.583849,18.321989
13748,miss,93.358536,14.828487
28878,miss,88.624252,19.282254
5618,miss,90.345488,30.387729
14811,miss,87.155712,14.062054
1545,soft-hit,87.981388,17.054878
2102,miss,86.099228,16.683589
13959,miss,87.31377,43.375653
34772,soft-hit,90.119819,92.519141
15365,miss,92.643136,14.52562
9939,miss,98.663933,18.431615
5379,miss,84.727346,21.897484
17290,miss,88.012863,19.785477
6029,miss,86.289203,17.146154
28020,miss,90.616356,15.899951
16143,miss,88.308733,24.920087
12499,miss,99.648635,15.71499
14068,miss,88.313473,38.352429
29668,miss,86.703274,18.943833
13661,miss,89.025971,17.214213
7802,miss,90.699871,22.31419
18648,soft-hit,102.095155,37.374455
9823,soft-hit,90.963315,18.062271
22335,miss,97.800912,46.827892
34912,soft-hit,90.540435,11.254296
20667,miss,91.970687,18.251025
5674,miss,90.580527,28.622621
5766,soft-hit,90.868868,44.308876
24802,hit,0,18.725038
1081,soft-hit,90.372517,14.987845
13959,soft-hit,97.830103,12.296458
34280,miss,101.221427,18.369699
6516,miss,100.354278,20.441971
21773,miss,95.562342,76.446192
26648,miss,112.095429,29.138653
8389,soft-hit,93.327301,15.315772
32888,miss,92.025591,33.355696
17225,hit,0,15.872247
11835,soft-hit,86.209812,20.583623
18654,miss,97.856208,8.670099
