Querier,Cache log,Generation Time,Execution Time
Querier,Cache log,Generation Time,Execution Time
Querier,Cache log,Generation Time,Execution Time
36401,miss,238.386132,56.408352
14813,miss,6.901279,5.584705
12141,miss,3.360321,24.158642
14813,hit,0,4.888385
28878,miss,3.663739,15.420629
36401,miss,4.763529,4.67953
25223,miss,4.953075,7.567793
15011,miss,3.638455,4.445013
1545,miss,5.144371,7.117034
30350,miss,3.043676,3.769287
30720,miss,3.472484,5.165523
28878,hit,0,3.64068
4465,miss,4.096085,4.323221
8620,miss,3.916167,4.575809
30117,miss,4.366024,3.542516
6533,miss,4.69087,5.411673
24802,miss,4.431929,11.236817
12108,miss,5.674992,6.13133
14525,miss,3.241319,4.716523
32083,miss,3.230355,5.895972
29596,miss,4.10149,5.472422
30350,hit,0,3.105979
5654,miss,3.646615,4.930526
25223,soft-hit,5.921355,8.492023
2561,miss,4.573305,3.975181
7327,miss,6.894169,4.113219
23371,miss,3.472654,5.916606
33418,miss,4.329423,3.398297
11374,miss,4.101743,5.067012
2427,miss,4.331554,5.044301
24514,miss,7.338878,4.093167
22979,miss,5.41628,3.225694
17467,miss,3.341683,5.152505
30311,miss,3.44382,2.934742
18784,miss,3.412261,4.108547
35240,miss,3.589631,3.191044
14525,soft-hit,4.169719,4.983114
2836,miss,3.44805,2.657312
34290,miss,6.091686,5.146194
22764,miss,7.580858,75.966481
26718,miss,6.271294,7.495137
6979,miss,3.747067,5.140036
1160,miss,5.879422,4.365922
7208,miss,4.629894,6.430786
6650,miss,5.632954,3.840544
30743,miss,7.412084,3.697514
25223,soft-hit,15.998176,9.84383
5654,hit,0,2.938675
9189,miss,5.247814,3.860742
4331,miss,5.047913,4.070227
34397,miss,9.263287,6.47555
453,miss,7.50961,4.200557
12108,soft-hit,4.783586,3.181893
21773,miss,4.742085,3.383798
32888,miss,4.15425,5.386284
34058,miss,6.735766,7.370806
1267,miss,4.290152,13.768882
10287,miss,5.007357,3.624143
14811,miss,5.552033,74.635241
7208,hit,0,4.104813
14629,miss,9.235355,11.274983
21741,miss,5.305196,5.292272
21396,miss,4.437795,3.725161
26555,miss,4.605826,3.918855
24802,hit,0,4.30133
17463,miss,6.873936,6.61974
11835,miss,5.278053,3.277919
6650,soft-hit,5.232553,13.735143
21475,miss,4.620386,4.018758
14451,miss,4.562879,4.205006
23540,miss,4.556302,8.273731
31418,miss,6.332555,3.60348
5706,miss,7.01889,5.521684
21396,hit,0,3.830241
23519,miss,4.882889,5.377932
26555,soft-hit,5.611327,3.266447
30134,miss,5.133972,4.047284
364,miss,4.980037,4.293091
22979,hit,0,4.545132
14813,soft-hit,6.946704,10.459981
36254,miss,5.871403,3.038145
13748,miss,5.766886,7.110436
10054,miss,7.328096,3.615825
16771,miss,6.082309,4.214667
31086,miss,6.47349,3.978618
1023,miss,5.342644,3.270267
1040,miss,6.888419,4.934791
7598,miss,6.158605,7.117133
34679,miss,6.788331,3.803485
8620,soft-hit,11.273963,4.408132
36348,miss,8.008897,3.146729
4167,miss,7.116581,4.757559
28878,soft-hit,7.600413,3.600383
33728,miss,6.621646,4.659381
5704,miss,6.508974,3.386926
33049,miss,6.274216,3.872719
13512,miss,7.875449,6.597443
18306,miss,8.518846,6.374214
11374,soft-hit,6.958644,3.479512
34679,hit,0,4.948112
428,miss,7.380963,3.807807
7366,miss,8.102937,4.196322
26718,soft-hit,7.208038,6.996367
11858,miss,5.970871,2.81194
34618,miss,8.190621,12.311674
1160,soft-hit,10.319033,7.193052
35546,miss,6.983465,4.711866
12873,miss,9.603642,5.526084
17467,soft-hit,7.184748,5.349359
6556,miss,8.814644,5.116101
29156,miss,7.798441,5.3242
2045,miss,7.93232,3.618657
31086,soft-hit,9.206097,9.019415
29596,hit,0,4.33466
9726,miss,8.959308,3.993996
11650,miss,6.816559,7.242639
364,hit,0,4.836759
13409,miss,10.184091,5.543803
27259,miss,7.646355,5.452172
6318,miss,8.499211,22.438743
19101,miss,7.496113,5.394301
15011,soft-hit,9.210465,7.166154
9746,miss,8.593675,8.463781
12840,miss,7.19023,6.19886
24514,hit,0,4.348073
12108,soft-hit,9.593535,4.433894
35244,miss,13.74258,9.715341
17064,miss,9.842747,7.260442
32779,miss,13.759471,5.513764
8389,miss,15.657675,8.902538
10490,miss,10.182604,124.455981
1545,soft-hit,10.085282,10.933378
11660,miss,9.56003,6.49231
15574,miss,9.076437,6.413105
18852,miss,7.979936,3.035088
13824,miss,8.073256,9.255603
32774,miss,9.655459,12.174384
29596,soft-hit,8.808632,5.359668
34679,soft-hit,9.737544,3.633053
5704,hit,0,4.884774
29156,hit,0,4.595619
32069,miss,11.256426,5.804083
5704,hit,0,2.933235
12840,hit,0,4.414583
7432,miss,10.038899,9.798795
8830,miss,7.934184,4.088987
11595,miss,9.633024,4.060173
30311,soft-hit,10.771103,3.719017
12387,miss,10.583853,8.241274
2102,miss,9.821869,23.56919
580,miss,9.840907,15.69294
1408,miss,8.25885,25.152508
34912,miss,10.744732,3.097417
1766,miss,9.425661,2.939069
6650,soft-hit,9.443275,3.28786
1545,soft-hit,12.616043,13.205528
9163,miss,9.434804,3.425171
23203,miss,10.495857,4.821788
27323,miss,11.33287,6.063643
31863,miss,9.174481,2.949331
27259,soft-hit,10.150795,68.861688
35470,miss,9.788935,3.07708
27830,miss,11.430566,6.519658
32069,soft-hit,13.153072,8.947153
19368,miss,9.203716,13.559872
12141,soft-hit,12.513933,11.610982
33850,miss,10.384822,3.09017
9868,miss,11.049505,4.924567
3680,miss,11.512513,111.081073
9375,miss,8.838425,2.652646
31264,miss,11.64201,15.787258
9726,soft-hit,13.179749,3.921415
12108,soft-hit,12.247195,17.86863
16771,soft-hit,12.205211,5.177317
