Querier,Cache log
Querier,Cache log
Querier,Cache log
16142,miss
22235,miss
23969,miss
4178,miss
9522,miss
177,miss
10285,miss
2561,miss
23907,miss
28878,miss
16142,miss
29826,miss
26555,miss
22335,miss
11315,miss
8010,miss
21345,miss
16749,miss
30720,miss
32910,miss
31408,miss
29699,miss
5997,miss
16771,miss
9674,miss
5379,miss
10490,miss
16607,miss
7366,miss
32069,miss
23969,regenerate
1023,miss
8071,miss
30350,miss
29987,miss
21396,miss
6650,miss
32774,miss
15365,miss
11315,regenerate
12387,miss
13409,miss
31342,miss
29864,miss
3756,miss
35240,miss
4095,miss
28836,miss
19684,miss
36401,miss
30077,miss
13959,miss
26994,miss
11595,miss
31863,miss
20845,miss
28114,miss
31086,miss
34342,miss
9674,regenerate
6824,miss
14515,miss
14451,miss
5566,miss
19744,miss
13944,miss
11835,miss
28153,miss
453,miss
32069,updation
803,miss
6556,miss
13409,updation
29699,updation
19924,miss
11315,updation
14601,miss
23978,miss
2045,miss
21475,miss
2857,miss
16360,miss
22549,miss
26366,miss
6096,miss
16948,miss
12499,miss
35302,miss
26710,miss
19991,miss
16491,miss
15230,miss
1545,miss
28490,miss
6626,miss
29372,miss
18131,miss
13073,miss
19924,updation
16142,miss
21672,miss
15574,miss
26366,hit
12487,miss
7880,miss
27302,miss
496,miss
14515,regenerate
7016,miss
26371,miss
3476,miss
428,miss
14515,regenerate
35397,miss
30117,miss
13024,miss
6824,updation
16622,miss
30117,hit
16749,updation
20995,miss
18530,miss
24388,miss
13572,miss
3980,miss
33971,miss
25357,miss
1023,updation
31418,miss
6029,miss
19345,miss
33728,miss
23540,miss
34161,miss
23416,miss
1545,updation
20845,updation
29699,updation
36371,miss
30350,updation
16377,miss
31408,updation
30707,miss
13138,miss
31418,regenerate
1704,miss
1351,miss
30350,regenerate
7016,updation
23519,miss
29360,miss
33850,miss
35240,updation
1455,miss
4465,miss
1081,miss
23969,regenerate
1581,miss
15230,regenerate
2836,miss
29156,miss
17196,miss
14629,miss
21773,miss
17463,miss
18306,miss
30088,miss
24514,miss
8389,miss
32913,miss
5566,updation
5692,miss
30350,updation
11650,miss
3100,miss
26371,updation
13353,miss
14813,miss
6556,updation
26475,miss
3680,miss
15814,miss
32779,miss
23400,miss
5124,miss
33728,updation
10283,miss
16662,miss
13471,miss
3980,updation
34290,miss
34912,miss
13661,miss
803,hit
14312,miss
12487,updation
32888,miss
20995,hit
17064,miss
14312,hit
6626,updation
17467,miss
4465,updation
17064,hit
34647,miss
18852,miss
13824,miss
5706,miss
1081,hit
13748,miss
6556,updation
1995,miss
19368,miss
9522,updation
9163,miss
12874,miss
15230,regenerate
4141,miss
25357,updation
24514,updation
25357,regenerate
13138,updation
4178,updation
32816,miss
7598,miss
20011,miss
10283,regenerate
30134,miss
16622,updation
29072,miss
31863,updation
30250,miss
34568,miss
16491,updation
10479,miss
1085,miss
14451,updation
29514,miss
12874,hit
5618,miss
34679,miss
35796,miss
36254,miss
18131,updation
14246,miss
11374,miss
16228,miss
16920,miss
28393,miss
7366,updation
17798,miss
7880,updation
30696,miss
36254,hit
7880,regenerate
27323,miss
25223,miss
9939,miss
36371,updation
4415,miss
28194,miss
34290,updation
7880,updation
12148,miss
16622,updation
32634,miss
26555,updation
4178,updation
16377,updation
22019,miss
29260,miss
30743,miss
29826,updation
5997,updation
