Querier,Cache log,Time,Querier,Cache log,Time,Querier,Cache log,Time,12487,miss,0
6096,miss,0
5124,miss,0
11660,miss,0
18306,miss,0
19719,miss,0
14451,miss,0
29156,miss,0
26265,miss,0
16662,miss,0
11835,miss,0
15486,miss,0
1023,miss,0
15486,hit,1
13944,miss,0
26555,miss,0
5654,miss,0
27302,miss,0
29864,miss,0
20006,miss,0
27302,hit,1
1040,miss,0
4494,miss,0
17778,miss,0
35470,miss,0
31303,miss,0
26994,miss,0
30350,miss,0
9746,miss,0
19421,miss,0
33971,miss,0
13138,miss,0
13572,miss,0
12840,miss,0
30720,miss,0
10479,miss,0
27830,miss,0
30311,miss,0
32888,miss,0
18131,miss,0
18648,miss,0
22019,miss,0
16142,miss,0
9746,updation,PT0.021199552S
29668,miss,0
32888,hit,1
1267,miss,0
177,miss,0
1160,miss,0
7327,miss,0
35470,hit,1
18648,hit,1
27309,miss,0
23907,miss,0
34397,miss,0
20239,miss,0
30077,miss,0
14525,miss,0
13512,miss,0
4331,miss,0
2108,miss,0
26371,miss,0
12387,miss,0
16771,miss,0
13824,miss,0
18654,miss,0
6650,miss,0
30720,updation,PT0.014690409S
2045,miss,0
35244,miss,0
9726,miss,0
22979,miss,0
35836,miss,0
29360,miss,0
35796,miss,0
18131,hit,1
580,miss,0
20532,miss,0
17621,miss,0
23203,miss,0
20718,miss,0
15574,miss,0
428,miss,0
8620,miss,0
27309,hit,1
22305,miss,0
19684,miss,0
35244,updation,PT0.013005796S
12148,miss,0
24061,miss,0
13797,miss,0
16505,miss,0
1455,miss,0
5654,hit,1
4141,miss,0
30707,miss,0
19368,miss,0
34618,miss,0
26366,miss,0
26171,miss,0
28393,miss,0
34679,miss,0
34912,miss,0
16701,miss,0
12840,updation,PT0.018783867S
6029,miss,0
22549,miss,0
5379,miss,0
23978,miss,0
9746,updation,PT0.024792607S
4494,updation,PT0.016469309S
26718,miss,0
24388,miss,0
19101,miss,0
12874,miss,0
12873,miss,0
2045,updation,PT0.016494937S
7432,miss,0
11374,miss,0
31086,miss,0
2836,miss,0
7016,miss,0
4178,miss,0
13024,miss,0
10490,miss,0
35397,miss,0
11650,miss,0
3822,miss,0
9674,miss,0
6556,miss,0
7366,miss,0
5833,miss,0
9375,miss,0
30736,miss,0
28194,miss,0
34058,miss,0
20718,updation,PT0.046598706S
29987,miss,0
11650,hit,1
1160,updation,PT0.023453561S
35244,updation,PT0.024552023S
36241,miss,0
5352,miss,0
25811,miss,0
18131,hit,1
7016,updation,PT0.018723503S
29514,miss,0
5394,miss,0
23791,miss,0
22019,updation,PT0.079978048S
30736,hit,1
1160,regenerate,PT0.05239135S
35397,updation,PT0.02964212S
31418,miss,0
