Querier,No. of Policies,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,No. of Policies,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,No. of Policies,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,No. of Policies,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,No. of Policies,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,No. of Policies,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,No. of Policies,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
14930,69,miss,911.682993,70.403609,284.818102,0,1266.904704,0
14930,69,miss,464.195421,79.552233,264.273983,0,808.021637,0
14930,69,miss,445.587418,42.865231,268.251656,0,756.704305,0
14930,69,miss,424.860441,21.986342,274.26853,0,721.115313,0
14930,69,miss,482.471918,82.251608,342.716876,0,907.440402,0
14930,69,miss,461.702751,40.737891,301.993656,0,804.4342979999999,0
14930,69,miss,685.510399,32.291372,530.704777,0,1248.506548,0
14930,69,miss,576.693623,26.192945,417.920181,0,1020.8067490000001,0
14930,69,miss,547.527179,50.920604,382.522416,0,980.9701990000001,0
14930,69,miss,561.577561,23.07252,395.772218,0,980.422299,0
14930,69,miss,470.701732,39.139123,316.272492,0,826.113347,0
14930,69,miss,550.559503,46.881913,396.01251,0,993.4539259999999,0
14930,69,miss,444.974084,23.027021,290.04446,0,758.045565,0
14930,69,miss,427.352174,24.639662,273.117193,0,725.109029,0
14930,69,miss,433.72033,21.93739,279.961992,0,735.6197119999999,0
14930,69,miss,439.659035,22.720704,276.84697,0,739.226709,0
14930,69,miss,445.149595,24.268313,281.708008,0,751.125916,0
14930,69,miss,437.135966,46.185085,281.497174,0,764.818225,0
14930,69,miss,462.331068,22.845272,299.898049,0,785.0743890000001,0
14930,69,miss,453.703137,23.722607,289.890617,0,767.316361,0
14930,69,miss,435.100361,63.107209,271.366753,0,769.574323,0
14930,69,miss,432.11643,27.556678,268.003957,0,727.677065,0
14930,69,miss,467.324619,21.772786,303.986308,0,793.083713,0
14930,69,miss,420.971761,34.197015,257.842299,0,713.0110750000001,0
14930,69,miss,482.322583,23.771743,323.564545,0,829.6588710000001,0
14930,69,miss,426.874844,22.017574,264.487712,0,713.38013,0
14930,69,miss,435.346113,21.469118,273.856224,0,730.6714549999999,0
14930,69,miss,414.103421,23.515961,253.236092,0,690.855474,0
14930,69,miss,439.625363,25.471138,277.907808,0,743.0043089999999,0
14930,69,miss,439.294614,22.820133,276.701287,0,738.816034,0
14930,69,miss,448.239013,39.223018,286.605828,0,774.067859,0
14930,69,miss,444.672752,48.936409,283.492267,0,777.1014279999999,0
14930,69,miss,424.755239,71.62478,264.010175,0,760.3901940000001,0
14930,69,miss,442.430816,22.859704,279.797651,0,745.088171,0
14930,69,miss,444.448145,23.090527,281.72678,0,749.2654520000001,0
14930,69,miss,442.594498,22.170026,280.968084,0,745.732608,0
14930,69,miss,442.918625,90.092315,282.167623,0,815.1785629999999,0
14930,69,miss,440.944752,21.870035,278.669066,0,741.483853,0
14930,69,miss,438.551058,22.427871,277.725295,0,738.7042240000001,0
14930,69,miss,442.733335,20.347641,281.625291,0,744.706267,0
14930,69,miss,555.991128,21.969074,395.57664,0,973.536842,0
14930,69,miss,452.543652,22.110339,289.954049,0,764.6080400000001,0
14930,69,miss,430.724336,26.459512,275.201363,0,732.385211,0
14930,69,miss,454.655488,67.24427,286.052768,0,807.952526,0
14930,69,miss,436.224747,32.83659,287.077231,0,756.138568,0
14930,69,miss,425.150218,21.118361,273.527677,0,719.796256,0
14930,69,miss,424.03161,52.623557,274.770671,0,751.425838,0
14930,69,miss,448.21665,20.374547,294.060523,0,762.6517200000001,0
14930,69,miss,434.560692,58.729567,285.755849,0,779.046108,0
14930,69,miss,436.225919,37.493739,285.797592,0,759.51725,0
14930,69,miss,436.940744,23.097539,282.802675,0,742.840958,0
14930,69,miss,453.226783,22.51027,301.924735,0,777.661788,0
14930,69,miss,535.5783,70.354635,384.550202,0,990.483137,0
14930,69,miss,450.752722,23.015142,300.502836,0,774.2707,0
14930,69,miss,515.125176,22.813315,361.479531,0,899.4180220000001,0
14930,69,miss,438.647009,23.403394,285.840238,0,747.890641,0
14930,69,miss,418.656853,22.241664,266.297855,0,707.1963720000001,0
14930,69,miss,428.960956,36.624211,277.303991,0,742.889158,0
14930,69,miss,421.705648,50.717255,270.10795,0,742.530853,0
14930,69,miss,446.547037,23.078525,294.96605,0,764.5916119999999,0
14930,69,miss,447.171149,23.059359,293.29474,0,763.525248,0
14930,69,miss,423.854846,48.832025,273.386634,0,746.0735050000001,0
14930,69,miss,435.663091,53.108774,280.692522,0,769.464387,0
14930,69,miss,426.184504,21.425656,274.447166,0,722.057326,0
14930,69,miss,429.06172,21.268763,286.106928,0,736.4374109999999,0
14930,69,miss,424.218733,20.682016,274.188637,0,719.089386,0
14930,69,miss,399.92781,67.339708,251.393849,0,718.661367,0
14930,69,miss,431.681108,21.652287,282.71034,0,736.043735,0
14930,69,miss,424.33558,20.586343,274.883022,0,719.804945,0
14930,69,miss,453.294059,22.240401,304.950235,0,780.4846950000001,0
14930,69,miss,443.844438,20.674379,291.357015,0,755.875832,0
14930,69,miss,436.966705,99.831692,293.658219,0,830.4566159999999,0
14930,69,miss,418.251431,19.35248,266.342322,0,703.9462330000001,0
14930,69,miss,443.762843,47.78246,293.730553,0,785.275856,0
14930,69,miss,439.071313,20.148791,289.770616,0,748.99072,0
14930,69,miss,490.259685,22.111676,301.672973,0,814.0443339999999,0
14930,69,miss,433.546057,21.908252,285.552271,0,741.00658,0
14930,69,miss,438.939483,21.480346,290.180921,0,750.6007500000001,0
14930,69,miss,446.772762,47.978463,299.501448,0,794.252673,0
14930,69,miss,447.389758,75.558179,296.253416,0,819.2013529999999,0
14930,69,miss,437.10626,71.86793,286.737344,0,795.711534,0
14930,69,miss,432.428795,20.161841,282.397353,0,734.987989,0
14930,69,miss,434.295938,54.720953,284.709347,0,773.726238,0
14930,69,miss,442.756561,22.517226,279.74654,0,745.020327,0
14930,69,miss,444.501918,98.229454,296.940449,0,839.6718209999999,0
14930,69,miss,464.361118,20.69415,313.434153,0,798.489421,0
14930,69,miss,442.391075,65.24598,293.636257,0,801.273312,0
14930,69,miss,440.199128,20.746182,290.529953,0,751.4752629999999,0
14930,69,miss,426.859531,29.376909,278.655158,0,734.8915979999999,0
14930,69,miss,426.07075,66.067028,277.122354,0,769.2601319999999,0
14930,69,miss,442.672431,37.017128,295.102757,0,774.792316,0
14930,69,miss,449.843497,21.299702,289.597136,0,760.740335,0
14930,69,miss,496.624577,20.998493,349.16427,0,866.78734,0
14930,69,miss,483.843671,21.976131,335.864891,0,841.6846929999999,0
14930,69,miss,482.014448,21.910954,333.856731,0,837.782133,0
14930,69,miss,432.820562,22.467182,284.233762,0,739.521506,0
14930,69,miss,421.702761,30.481757,273.668014,0,725.8525320000001,0
14930,69,miss,431.852895,24.606861,283.487906,0,739.947662,0
14930,69,miss,456.954467,20.349961,305.512094,0,782.8165220000001,0
14930,69,miss,449.544218,42.580158,291.859562,0,783.983938,0
14930,69,miss,457.054043,23.503975,308.38053,0,788.9385480000001,0
14930,69,miss,445.432001,20.034332,295.744243,0,761.210576,0
14930,69,miss,444.030354,20.284971,295.878849,0,760.194174,0
14930,69,miss,428.733984,21.840303,280.054134,0,730.628421,0
14930,69,miss,445.687204,20.171033,296.989327,0,762.847564,0
14930,69,miss,481.238964,22.581136,319.230521,0,823.0506210000001,0
14930,69,miss,454.061797,35.906942,301.299349,0,791.268088,0
34568,69,miss,434.899542,46.044555,284.804202,0,765.748299,0
34568,69,soft-hit,441.361849,22.216338,291.068003,754.6461899999999,0,false
34568,69,soft-hit,446.22468,20.962545,302.638731,769.8259559999999,0,false
34568,69,soft-hit,439.866713,72.804495,290.107723,802.7789310000001,0,false
34568,69,soft-hit,429.999406,22.488745,286.309221,738.797372,0,false
34568,69,soft-hit,443.892571,20.895366,295.276279,760.064216,0,false
34568,69,soft-hit,427.400699,37.342476,291.987743,756.730918,0,false
34568,69,soft-hit,451.720365,59.406172,301.960781,813.087318,0,false
34568,69,soft-hit,449.479564,21.077364,301.814216,772.371144,0,false
34568,69,soft-hit,456.261999,47.060568,307.645874,810.968441,0,false
34568,69,soft-hit,455.754453,20.318874,291.052293,767.12562,0,false
34568,69,soft-hit,497.667456,22.588643,344.657729,864.913828,0,false
34568,69,soft-hit,450.758793,48.01287,300.157602,798.929265,0,false
34568,69,soft-hit,469.229709,23.235171,319.230935,811.695815,0,false
34568,69,soft-hit,446.323198,31.676979,297.5762,775.576377,0,false
34568,69,soft-hit,460.272975,19.574339,299.783901,779.631215,0,false
34568,69,soft-hit,426.37394,57.117808,276.50204,759.993788,0,false
34568,69,soft-hit,467.083746,22.041849,316.928559,806.054154,0,false
34568,69,soft-hit,509.866244,26.663481,358.988168,895.517893,0,false
34568,69,soft-hit,416.096186,61.704017,267.254602,745.054805,0,false
34568,69,soft-hit,447.661541,40.271997,296.410543,784.344081,0,false
34568,69,soft-hit,438.87409,49.516128,276.359537,764.749755,0,false
34568,69,soft-hit,437.660998,56.675161,285.667045,780.003204,0,false
34568,69,soft-hit,445.08851,20.269936,293.656133,759.0145789999999,0,false
