Querier,Cache log,Generation Time,Execution Time
Querier,Cache log,Generation Time,Execution Time
Querier,Cache log,Generation Time,Execution Time
14246,miss,496.596238,71.509859
17798,miss,122.177047,76.599241
34161,miss,117.088423,30.708264
16701,miss,105.540649,19.98796
35470,miss,107.125402,26.793131
17467,miss,104.157808,27.361188
4494,miss,97.396472,28.196961
5654,miss,99.757027,28.381134
29699,miss,107.010636,30.645258
22764,miss,96.972393,60.458909
35244,miss,70.851465,31.478648
5379,miss,96.013952,53.105217
14451,miss,95.367268,15.155834
29360,miss,91.97644,13.620833
428,miss,94.713769,10.321876
25223,miss,104.33335,13.762271
20718,miss,91.603274,27.405784
18852,miss,92.39153,27.567048
35470,soft-hit,87.848612,29.131626
1160,miss,92.688654,14.012705
28247,miss,91.849147,30.600219
16377,miss,95.322556,24.527237
20006,miss,93.041236,33.31255
14451,soft-hit,88.656511,14.320631
28278,miss,90.823631,39.102378
20239,miss,93.80968,45.74208
30117,miss,90.410743,10.334143
30696,miss,90.623063,21.302186
7880,miss,91.980911,20.358865
10455,miss,86.520573,13.938857
28114,miss,90.698568,27.362987
15230,miss,91.478813,9.16563
18784,miss,87.825382,16.930879
11315,miss,89.729505,13.074474
15814,miss,88.314432,16.062092
5692,miss,91.697392,18.267244
29668,miss,94.935737,41.708874
31303,miss,94.518682,25.571264
29668,soft-hit,89.629437,17.14799
16142,miss,86.880466,9.307674
24200,miss,82.860153,43.257187
35836,miss,87.796609,19.840175
14813,miss,88.812556,23.143168
31943,miss,87.815599,25.257122
36348,miss,90.641365,359.489211
9522,miss,87.201177,16.299838
12479,miss,88.89058,18.017312
12873,miss,89.770525,27.174797
9178,miss,89.70187,17.678774
25223,hit,0,22.83638
19392,miss,93.444695,16.844107
6979,miss,90.456688,41.226939
19684,miss,90.564769,28.575496
11383,miss,102.791119,34.165173
31102,miss,86.613591,16.49727
4331,miss,89.525371,16.174089
2561,miss,95.594434,18.862791
36241,miss,98.803194,35.096301
26994,miss,94.330544,16.799324
1085,miss,89.64116,17.540128
5124,miss,93.848396,19.804389
13572,miss,89.26306,16.473663
26648,miss,88.048395,29.778905
5566,miss,90.714493,44.835666
22979,miss,95.919765,22.012026
23978,miss,91.019683,17.332522
26710,miss,88.685642,19.885056
24388,miss,87.129086,16.166018
34280,miss,87.83035,30.297596
15486,miss,90.389611,32.694297
33850,miss,91.200249,425.222212
31303,soft-hit,89.21217,27.078221
4167,miss,92.228657,18.184191
4415,miss,89.869134,14.382726
19101,miss,87.76569,14.408256
721,miss,88.261701,24.012666
5833,miss,90.400222,45.768315
1995,miss,89.586561,18.15409
8389,miss,89.240147,17.287649
1995,soft-hit,82.815193,17.766941
29936,miss,90.866512,25.019861
453,miss,101.890901,31.146693
35244,soft-hit,90.081145,37.408403
11650,miss,89.862569,31.231096
28278,soft-hit,84.423362,38.893876
18131,miss,89.607851,34.855082
3476,miss,85.939839,12.065796
17064,miss,92.503527,16.00595
20995,miss,88.880262,19.454082
29699,soft-hit,90.527784,26.595441
28335,miss,86.701649,19.251343
10054,miss,87.92452,16.127063
9868,miss,89.56262,16.683165
29156,miss,89.62906,15.00113
1351,miss,88.304627,16.164637
31342,miss,85.112,37.264311
19991,miss,82.68605,19.683699
20995,soft-hit,86.514304,16.999635
20718,soft-hit,85.009249,26.014907
35546,miss,83.905084,15.863514
14811,miss,84.71125,14.104534
12108,miss,88.983408,11.231495
803,miss,84.937899,10.983428
36241,hit,0,30.419494
22282,miss,79.789923,31.482121
34058,miss,86.186788,35.218716
18784,soft-hit,85.120292,16.600846
9189,miss,81.284665,24.924638
29514,miss,83.283923,12.370523
25113,miss,85.172748,16.328729
9746,miss,86.550206,16.231889
13572,soft-hit,94.003004,13.146606
4141,miss,84.418046,20.507053
34647,miss,81.493294,41.056348
6979,soft-hit,87.057578,40.612128
11629,miss,84.29934,13.735353
5766,miss,86.426302,27.253387
2102,miss,87.743676,17.658003
6650,miss,91.732567,14.035814
25113,soft-hit,88.449203,18.505817
15354,miss,87.968218,15.91838
17798,soft-hit,88.061762,26.266496
5704,miss,87.41775,31.855624
9939,miss,93.655441,58.553472
33011,miss,83.185961,14.978085
35689,miss,84.79415,26.543899
13748,miss,86.37783,28.315842
30250,miss,97.780909,26.860577
12054,miss,96.401966,36.384569
3680,miss,85.661946,14.134484
32779,miss,84.93958,27.678902
1023,miss,91.750536,17.95915
20532,miss,90.470869,27.016919
15814,soft-hit,88.326831,16.788474
13138,miss,92.937194,13.059292
2108,miss,87.487076,33.14061
2857,miss,85.269514,15.963827
5706,miss,86.18481,13.766952
12874,miss,87.607305,16.846998
19782,miss,92.549828,38.555765
16360,miss,89.427209,32.164939
7016,miss,87.98162,321.665798
17778,miss,90.27469,17.196528
1766,miss,87.568235,25.491782
5997,miss,92.850543,38.483781
22735,miss,89.466491,14.326287
17196,miss,85.229113,15.087984
11629,soft-hit,87.380739,12.667327
19991,soft-hit,86.600429,20.742978
33049,miss,87.402602,54.286143
20718,soft-hit,87.943718,24.158229
6415,miss,87.404893,14.275256
8389,soft-hit,83.92457,13.605495
25956,miss,98.04192,14.023851
7208,miss,86.299508,14.967587
34772,miss,90.582097,16.996498
19421,miss,85.282921,9.416412
8881,miss,84.864462,31.679042
29372,miss,87.617241,18.847237
19719,miss,92.153547,13.525356
19345,miss,86.800973,21.830408
27046,miss,86.880434,34.762051
29372,soft-hit,87.301035,9.04954
9939,hit,0,58.175392
11660,miss,86.560886,23.731958
4702,miss,86.597216,15.650824
30077,miss,85.947862,31.622063
19782,hit,0,37.566575
34342,miss,85.093709,12.604567
21396,miss,85.799826,13.865584
8389,soft-hit,91.096833,14.739087
18648,miss,84.075902,18.258228
34342,soft-hit,86.610493,11.111165
