Querier,Cache log,Generation Time,Execution Time
Querier,Cache log,Generation Time,Execution Time
Querier,Cache log,Generation Time,Execution Time
17621,miss,219.744597,14.279819
25956,miss,8.096082,5.847842
32779,miss,5.757409,6.920026
33971,miss,5.014812,8.929218
22282,miss,6.580023,4.846035
17621,miss,5.720634,5.726924
3980,miss,4.238468,5.028419
29596,miss,7.421032,7.0817
453,miss,4.511706,9.968132
17778,miss,5.726619,3.886262
15486,miss,4.769962,5.529102
14811,miss,6.837129,144.221005
29260,miss,5.06456,3.561235
26171,miss,5.474171,17.013089
11595,miss,6.383998,4.182049
34410,miss,5.533527,5.435095
29372,miss,6.586352,5.082663
16142,miss,5.744464,6.262563
2561,miss,7.49862,7.523684
9939,miss,7.330225,8.539224
27302,miss,7.912623,4.494608
26697,miss,7.848098,3.842072
12141,miss,12.263384,3.92489
13512,miss,12.701804,5.736282
29360,miss,9.90362,71.348557
26718,miss,7.308302,6.800839
21741,miss,12.276065,6.40197
26171,soft-hit,8.897824,4.616831
16360,miss,8.186772,7.940637
4889,miss,8.407542,4.220345
12874,miss,9.032754,15.371463
9522,miss,7.755859,4.80955
33971,soft-hit,8.79723,29.084885
721,miss,9.752579,4.268994
4178,miss,8.913578,3.597665
16622,miss,10.921096,3.94548
25956,soft-hit,11.037939,10.016999
5674,miss,13.220368,5.909114
1912,miss,13.077339,6.726369
3680,miss,22.463144,210.695106
16692,miss,12.882168,9.371251
31863,miss,11.647439,5.745984
14246,miss,11.689553,12.087586
9939,soft-hit,13.508557,5.363374
36254,miss,12.282545,4.618152
1040,miss,12.514544,27.696887
30720,miss,13.144363,15.749958
13353,miss,11.928511,5.616973
12387,miss,13.351792,84.383815
11835,miss,16.332713,7.100704
4331,miss,11.291818,5.299784
12487,miss,13.385014,6.052039
23400,miss,13.359265,9.971854
33733,miss,11.735697,3.524867
11650,miss,14.315379,4.785603
12874,soft-hit,14.405417,5.231054
21773,miss,16.161352,5.876853
29936,miss,16.102451,19.446389
30077,miss,15.305439,8.170855
15486,soft-hit,15.564674,4.899289
453,soft-hit,15.122259,21.270387
5654,miss,17.953077,10.3135
5379,miss,14.849568,31.249114
3476,miss,12.654101,5.716777
8071,miss,13.526186,4.37094
8071,hit,0,4.00315
9189,miss,17.121979,15.76584
23791,miss,14.623341,5.582767
34380,miss,15.770749,4.340145
19368,miss,14.99956,19.14343
30720,soft-hit,18.612005,5.944341
35240,miss,20.139198,7.691469
6415,miss,16.831501,3.838114
1766,miss,24.934443,6.533496
27830,miss,19.367431,18.078902
23791,hit,0,5.36106
2857,miss,17.645491,13.585864
20845,miss,19.854074,19.038601
13471,miss,20.849662,33.289016
36254,soft-hit,24.459111,83.684226
19744,miss,17.119908,16.407497
5379,soft-hit,19.477505,33.548548
30350,miss,19.949222,46.736923
8010,miss,17.992846,14.933761
13959,miss,17.740473,9.651323
7366,miss,20.428992,6.408396
13661,miss,27.925202,37.825626
9163,miss,19.14661,3.407844
7327,miss,23.312972,4.383338
36348,miss,31.244834,26.515382
16377,miss,20.981101,4.771628
17956,miss,20.15582,6.20935
2836,miss,28.428831,9.059732
19991,miss,22.623729,54.467887
34342,miss,24.038845,28.213406
33049,miss,23.210842,10.59622
14996,miss,23.195416,9.339906
3756,miss,18.395698,14.745822
35796,miss,26.791135,12.985861
6533,miss,22.28446,90.411485
16607,miss,24.503195,11.791079
30350,soft-hit,24.25592,13.615283
9522,soft-hit,22.356336,4.936752
1023,miss,22.716146,4.556767
18648,miss,32.496273,25.38476
1995,miss,29.921143,54.422281
12141,soft-hit,30.191009,16.170888
20667,miss,24.670261,26.444997
22019,miss,26.503876,55.322973
26096,miss,23.464176,6.769355
11315,miss,24.793392,5.512434
29699,miss,24.955304,25.45842
33850,miss,28.092454,84.071089
28335,miss,20.883369,11.368169
21475,miss,28.440985,18.674162
34058,miss,31.172383,9.463922
17956,soft-hit,25.671488,74.558191
5766,miss,24.312147,55.739831
34912,miss,24.567491,5.074488
5566,miss,29.398527,10.225775
15011,miss,26.542589,72.621337
12479,miss,26.525627,8.226339
6096,miss,36.353841,27.311343
9868,miss,26.713405,47.398706
4415,miss,26.963466,23.571436
15011,hit,0,5.979708
28393,miss,33.790592,35.909838
18575,miss,26.828953,10.467833
13471,soft-hit,38.119041,20.935515
30117,miss,34.673423,8.915716
27323,miss,30.65712,68.457319
8830,miss,26.727,5.97725
15230,miss,25.809636,6.753592
12775,miss,34.581484,50.598438
29072,miss,34.431338,61.907706
14996,soft-hit,32.138616,7.58167
12873,miss,33.778811,81.691128
34084,miss,32.214283,22.667194
32741,miss,30.853271,9.479743
14525,miss,31.050397,6.830351
35470,miss,37.576864,10.608702
1912,soft-hit,33.680948,45.510893
30414,miss,27.989695,5.521788
3680,soft-hit,31.218426,222.701582
14246,soft-hit,32.404515,7.384779
20995,miss,27.840831,4.759791
20532,miss,33.933853,6.283177
7208,miss,28.688297,13.520908
7802,miss,30.387085,27.02933
26718,soft-hit,33.476147,28.993552
11660,miss,39.837444,14.858671
19719,miss,40.770783,64.428441
17290,miss,32.564906,3.241105
13512,soft-hit,40.224409,13.577907
26718,hit,0,7.647314
20011,miss,31.210627,9.235079
36401,miss,39.331342,17.092963
29072,soft-hit,40.396997,14.576522
18648,soft-hit,50.515218,58.267181
7208,hit,0,9.374557
27259,miss,44.250485,8.425388
29826,miss,43.158286,7.137095
29668,miss,30.752584,7.193438
20718,miss,33.677545,11.903194
30311,miss,44.089106,18.896213
23907,miss,48.267831,32.812485
19684,miss,34.415976,114.512882
32634,miss,37.846295,43.958108
29540,miss,40.116849,69.044433
14930,miss,45.416097,12.063554
34397,miss,31.666298,65.971322
18575,hit,0,8.385406
17798,miss,34.658081,12.602394
