Querier,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
36401,miss,338.727195,16.84341,1.378697,0,356.949302,0
36401,miss,12.712385,45.821446,1.062009,0,59.59584,0
7432,miss,10.635792,6.810339,1.017555,0,18.463686,0
21741,miss,9.304688,6.126271,0.911521,0,16.342480000000002,0
26710,miss,9.775776,6.941371,2.103357,0,18.820504,0
11282,miss,12.429748,4.910982,1.002112,0,18.342841999999997,0
16622,miss,8.251067,5.396351,0.871036,0,14.518454000000002,0
3822,miss,8.749317,5.167109,0.922425,0,14.838851,0
10054,miss,11.17528,5.880181,0.901678,0,17.957139,0
6556,miss,8.647225,4.838388,0.941774,0,14.427387,0
35689,miss,9.300987,5.128626,0.878453,0,15.308066,0
28836,miss,7.997683,5.188137,0.841104,0,14.026924000000001,0
28194,miss,8.734538,4.909523,0.98621,0,14.630271,0
13409,miss,11.385891,4.593597,0.849541,0,16.829029000000002,0
21741,hit,0,6.78145,0,6.78145,0,0
29864,miss,10.044808,6.541401,0.901958,0,17.488166999999997,0
2124,miss,10.031835,6.447392,1.174396,0,17.653623,0
13409,hit,0,6.007903,0,6.007903,0,0
10054,hit,0,5.235919,0,5.235919,0,0
28513,miss,10.007739,5.838004,0.969077,0,16.81482,0
27323,miss,7.982924,5.867939,0.852623,0,14.703486,0
5997,miss,8.570997,6.303593,0.958402,0,15.832992,0
2124,hit,0,4.870919,0,4.870919,0,0
11383,miss,8.777818,5.207677,0.926486,0,14.911981,0
2124,hit,0,3.82044,0,3.82044,0,0
30134,miss,8.452253,6.713999,0.971582,0,16.137834,0
9522,miss,9.020308,5.726372,0.917168,0,15.663848,0
31408,miss,9.359184,5.871741,0.958058,0,16.188983,0
1766,miss,10.019357,6.326215,1.335242,0,17.680813999999998,0
15538,miss,10.058416,6.289371,0.950864,0,17.298651,0
15538,hit,0,5.308873,0,5.308873,0,0
14451,miss,7.469509,4.627691,0.877056,0,12.974256,0
6650,miss,7.81113,5.254077,0.842249,0,13.907456,0
15574,miss,8.168909,6.02415,0.911764,0,15.104823,0
15574,hit,0,5.333981,0,5.333981,0,0
30350,miss,9.04852,5.755844,1.007641,0,15.812005,0
28490,miss,9.313466,5.840557,1.014368,0,16.168391,0
2836,miss,9.100627,6.129467,1.047915,0,16.278008999999997,0
5566,miss,10.05486,6.439223,0.965967,0,17.46005,0
28513,hit,0,5.044472,0,5.044472,0,0
26697,miss,10.462522,6.704954,1.170362,0,18.337837999999998,0
25223,miss,10.112458,6.295855,1.15778,0,17.566093000000002,0
26697,hit,0,5.77959,0,5.77959,0,0
13409,hit,0,6.4993,0,6.4993,0,0
2857,miss,8.900587,6.264857,0.988871,0,16.154315,0
453,miss,9.735792,5.95609,1.097505,0,16.789386999999998,0
19345,miss,7.796937,29.246359,1.060531,0,38.103827,0
2124,hit,0,5.272179,0,5.272179,0,0
16948,miss,10.859885,6.061716,1.426373,0,18.347974,0
5674,miss,10.467129,5.542759,1.207659,0,17.217547,0
14525,miss,13.256058,6.234143,1.48068,0,20.970881,0
