Querier,Cache log,Generation Time,Mergeability Time,Execution Time
Querier,Cache log,Generation Time,Mergeability Time,Execution Time
Querier,Cache log,Generation Time,Mergeability Time,Execution Time
11282,miss,307.513901,0,11.223442
29936,miss,5.385872,0,8.431832
27309,miss,3.918317,0,6.784555
34039,miss,4.133066,0,5.926675
6979,miss,3.061243,0,5.454984
17956,miss,2.739192,0,5.941654
11221,miss,2.660245,0,4.95579
26710,miss,5.38864,0,5.31018
34280,miss,2.669661,0,4.855181
12108,miss,4.060604,0,5.226378
6367,miss,6.228453,0,4.902153
1160,miss,3.366997,0,4.989621
2561,miss,4.022224,0,4.403249
35546,miss,3.880132,0,5.082236
19421,miss,3.097273,0,5.121959
29372,miss,3.083853,0,4.877484
31086,miss,5.98441,0,7.336584
11282,miss,4.152903,0,5.838055
10287,miss,4.370896,0,4.288041
34410,miss,3.39621,0,5.006727
34679,miss,3.607786,0,28.408219
20845,miss,3.320905,0,5.136104
32741,miss,3.493432,0,3.673206
9476,miss,4.671482,0,7.680827
16692,miss,5.682264,0,4.595316
6650,miss,4.527884,0,3.521967
17956,updation,1.716367,0.031062,4.765513
6979,updation,1.68096,0.011608,16.415597
36401,miss,3.818048,0,4.416693
20718,miss,4.732376,0,4.630793
27259,miss,3.972721,0,3.535852
35244,miss,5.475105,0,4.733336
4889,miss,4.116229,0,7.813416
34161,miss,5.979845,0,5.669427
34058,miss,4.275393,0,4.093058
35836,miss,5.265941,0,3.753705
24802,miss,4.451475,0,5.867607
11383,miss,4.566266,0,7.11642
29596,miss,6.142754,0,4.948932
30707,miss,13.965243,0,15.373248
29864,miss,10.295263,0,8.101811
580,miss,5.748811,0,8.323909
24388,miss,5.060637,0,8.8274
580,hit,0,0,5.520586
7598,miss,10.607685,0,4.409722
29864,hit,0,0,7.880264
35796,miss,6.757205,0,6.733754
26648,miss,9.01115,0,4.549552
364,miss,6.306182,0,5.767847
23978,miss,10.871603,0,5.731066
36241,miss,6.27637,0,7.903779
12148,miss,6.419654,0,4.488802
28194,miss,7.213863,0,4.009965
7598,regenerate,11.048285,0.002463,11.996009
28153,miss,9.363979,0,4.514115
26475,miss,11.485486,0,5.594616
15486,miss,10.562515,0,10.996069
28393,miss,6.16181,0,4.806843
19101,miss,6.332,0,4.554024
1040,miss,9.084956,0,5.765662
4178,miss,9.224982,0,175.902097
16692,hit,0,0,4.254441
34912,miss,10.26744,0,4.382074
8830,miss,7.298548,0,4.195637
17956,updation,3.443784,0.030424,81.667362
5706,miss,8.21978,0,5.828192
22282,miss,9.692452,0,7.346127
26171,miss,9.314135,0,5.368779
1408,miss,7.890021,0,30.158038
14930,miss,11.02849,0,8.543392
9189,miss,8.867203,0,6.051189
3328,miss,9.025157,0,74.383604
36401,updation,2.300296,0.014449,5.833761
34568,miss,9.365556,0,3.936414
15354,miss,8.367716,0,4.155487
27259,updation,1.69017,0.012926,5.958162
32603,miss,8.456213,0,33.620473
20011,miss,9.021532,0,4.829067
26171,hit,0,0,4.764207
364,updation,0.689826,0.008174,3.540823
10479,miss,7.937044,0,3.440185
2857,miss,8.698905,0,4.054647
21345,miss,8.908984,0,3.597937
13138,miss,11.900864,0,7.156582
31863,miss,9.934092,0,5.559043
3914,miss,10.611846,0,4.577375
5566,miss,9.98516,0,9.524145
15486,updation,0.658798,0.016038,5.896816
16948,miss,12.911079,0,6.24551
30736,miss,10.910949,0,5.834041
36348,miss,15.886805,0,17.250262
17467,miss,10.46682,0,9.423178
13661,miss,10.487385,0,31.671851
11858,miss,10.760097,0,7.163412
5654,miss,11.793537,0,5.609047
428,miss,11.342429,0,7.166665
27259,regenerate,10.705101,0.018388,3.785941
1912,miss,9.488714,0,4.504224
2561,updation,2.070238,0.014034,12.826064
25223,miss,15.384752,0,19.424262
30707,updation,2.112688,0.057142,24.728286
5997,miss,12.161549,0,4.102703
9674,miss,13.705072,0,14.803536
14629,miss,16.497186,0,17.09317
23540,miss,11.463125,0,15.734951
32634,miss,12.373077,0,4.761742
24388,updation,0.619188,0.00924,12.320172
11660,miss,14.957482,0,10.099641
18131,miss,11.942034,0,6.331954
9746,miss,16.393064,0,8.967103
23519,miss,15.471712,0,6.377163
13471,miss,18.458956,0,10.517908
17778,miss,13.498115,0,10.103823
17467,updation,0.75432,0.016166,4.075781
12874,miss,12.653333,0,15.247925
4167,miss,11.910844,0,6.966839
2561,updation,2.483898,0.038967,5.323017
17621,miss,15.007302,0,6.877409
23400,miss,13.577403,0,10.531288
2857,updation,1.603484,0.017096,4.639101
13138,updation,3.335857,0.050611,8.375005
21345,updation,0.861126,0.011242,4.614995
29987,miss,12.968853,0,5.073098
22549,miss,13.573277,0,5.985111
13819,miss,12.784051,0,5.0394
20995,miss,13.128744,0,6.406252
31863,updation,1.106597,0.018156,17.972606
14246,miss,14.967441,0,5.127453
36241,updation,1.768401,0.121936,3.916921
3980,miss,14.100007,0,4.257475
34380,miss,15.230329,0,12.233044
30311,miss,20.587327,0,12.602987
32888,miss,12.303614,0,8.464906
21741,miss,19.089937,0,6.258761
16701,miss,19.865578,0,7.070681
22979,miss,15.744199,0,13.364403
23203,miss,17.390334,0,10.375403
5706,hit,0,0,6.262617
12148,updation,3.060493,0.010063,10.519553
11282,miss,15.144944,0,13.142916
7208,miss,13.69035,0,7.813238
1704,miss,17.486666,0,8.174202
2102,miss,19.466024,0,46.171825
20718,updation,2.993027,0.006212,7.566813
21475,miss,16.634442,0,60.590341
24514,miss,20.469648,0,11.119092
32910,miss,13.450095,0,11.67098
30311,updation,0.571687,0.010058,4.238828
13824,miss,14.575988,0,5.639663
29514,miss,19.315593,0,13.650469
19963,miss,15.047695,0,3.824162
32888,hit,0,0,7.234739
8010,miss,16.212341,0,3.494733
12487,miss,17.086644,0,47.140144
6650,updation,4.583029,0.012811,5.729896
11660,updation,2.839228,0.022764,11.649868
4415,miss,16.587238,0,24.247516
26697,miss,19.909681,0,17.749977
26710,updation,6.87737,0.01503,7.450274
496,miss,19.535113,0,7.470923
17621,updation,1.09068,0.010363,17.463781
12874,hit,0,0,16.221473
12775,miss,17.27785,0,8.129332
