Querier,Cache log,Generation Time,Execution Time
Querier,Cache log,Generation Time,Execution Time
Querier,Cache log,Generation Time,Execution Time
20006,miss,282.30339,13.88837
20006,miss,6.54312,6.025773
1455,miss,3.617925,5.578906
16622,miss,3.428475,4.793484
27302,miss,3.254096,5.923486
16622,hit,0,3.871764
34568,miss,3.854852,5.026928
35470,miss,3.049535,4.401499
11835,miss,2.766362,3.730213
34568,hit,0,3.463767
28194,miss,3.746365,5.400621
34679,miss,2.721759,3.550446
3718,miss,3.233776,3.970966
34679,hit,0,2.915258
6626,miss,2.514642,3.8638
1581,miss,5.943994,4.441008
35470,hit,0,3.856693
26994,miss,4.498452,3.68644
30720,miss,2.569356,3.775918
35244,miss,2.717281,4.02163
3822,miss,2.555445,3.316439
1455,hit,0,2.91109
29826,miss,2.600554,3.129801
1455,hit,0,3.731573
16622,hit,0,3.869966
16622,hit,0,4.030804
19719,miss,10.627392,23.510138
8071,miss,2.635233,3.873993
26994,hit,0,3.664575
14629,miss,2.580926,3.226549
26994,hit,0,2.393225
35244,hit,0,4.402623
13944,miss,2.397724,2.755644
30720,hit,0,2.832815
6824,miss,2.383059,3.534082
35756,miss,3.148107,3.22172
6415,miss,2.611824,3.41506
19719,hit,0,4.740065
34568,hit,0,3.127643
28836,miss,4.111713,3.385721
11835,hit,0,2.862674
29260,miss,3.359282,3.412486
4095,miss,2.433586,3.532683
16622,hit,0,2.956949
34380,miss,2.84194,4.423002
6824,hit,0,2.964444
1545,miss,3.026788,4.239121
14629,hit,0,3.27325
25357,miss,2.290339,3.759489
9189,miss,2.352531,4.031743
8071,hit,0,2.677416
5997,miss,2.671228,3.561874
28490,miss,2.348619,2.716345
25223,miss,2.289312,3.361123
27302,hit,0,3.579856
26265,miss,2.330355,3.749124
30736,miss,2.360481,3.622282
13471,miss,3.91238,3.281102
6415,hit,0,4.386491
3718,hit,0,2.987411
3718,hit,0,3.145482
34679,hit,0,2.483546
4889,miss,2.3989,3.259235
20532,miss,2.314843,3.86069
28490,hit,0,3.244028
26555,miss,4.042253,4.636755
20006,miss,4.142738,4.419056
24200,miss,3.160185,3.360982
28490,hit,0,2.490755
24200,hit,0,2.736664
27302,hit,0,3.191774
11660,miss,2.427094,7.654464
31408,miss,2.596877,2.576571
30134,miss,2.434196,3.191436
28878,miss,2.298571,3.042057
34380,hit,0,5.569402
12873,miss,2.37178,6.38372
25357,soft-hit,3.322778,3.639118
11660,hit,0,3.074248
28020,miss,2.442781,5.719802
1545,hit,0,6.327701
14629,hit,0,2.963326
24200,hit,0,3.820528
16692,miss,3.207347,5.293301
28194,hit,0,3.2151
29936,miss,3.421751,3.754363
24200,hit,0,3.326573
36348,miss,5.557198,3.459535
13471,hit,0,2.474019
4494,miss,2.467051,8.284978
30250,miss,2.433777,3.49264
20532,soft-hit,3.38676,3.161868
25223,hit,0,3.087269
28878,hit,0,2.966594
29826,soft-hit,3.355165,2.687198
34039,miss,3.352828,2.917846
29596,miss,2.539684,3.380668
32888,miss,3.882715,7.465692
26555,hit,0,3.820415
11374,miss,2.67926,6.513247
34058,miss,2.674325,3.091283
28020,hit,0,3.985364
17956,miss,2.683993,4.531722
30250,hit,0,3.549449
13708,miss,2.608038,3.802308
13708,hit,0,4.036056
5997,soft-hit,4.003819,6.375154
20239,miss,3.238738,9.353747
32888,hit,0,7.557383
10287,miss,2.586066,3.841601
23371,miss,2.568052,3.199599
11374,hit,0,8.595389
13944,hit,0,2.568127
5766,miss,3.236238,3.138713
5131,miss,2.519627,11.051795
30250,hit,0,3.275979
14525,miss,5.304696,3.621894
32888,hit,0,9.753956
7432,miss,3.502818,3.894474
5997,hit,0,4.438223
34380,soft-hit,4.611434,5.236581
1545,soft-hit,4.034999,4.85053
4095,soft-hit,5.519747,6.822245
28114,miss,3.273637,3.586495
34290,miss,2.790697,3.356441
12840,miss,3.812616,5.631132
30250,hit,0,3.38113
33011,miss,3.22485,4.279717
5704,miss,2.682312,3.867664
1581,hit,0,3.457647
5704,hit,0,2.862997
17956,hit,0,2.457351
33011,hit,0,3.06241
5654,miss,2.632963,2.668888
35240,miss,2.649884,3.890317
12487,miss,3.194894,3.205829
11629,miss,3.008941,6.422242
453,miss,3.265199,2.951097
22282,miss,2.627207,2.789745
19421,miss,3.805871,4.529467
12108,miss,2.699717,6.459967
26366,miss,2.858565,2.476041
29260,hit,0,2.703651
3100,miss,3.45368,3.890569
17463,miss,3.565415,2.47751
20239,soft-hit,4.52216,10.936148
12874,miss,2.783729,3.143159
453,soft-hit,3.889289,8.18898
11383,miss,2.871468,6.408522
25113,miss,5.611224,3.601161
33011,hit,0,3.217666
21672,miss,2.756417,1.923448
19719,hit,0,2.324605
6367,miss,2.775627,3.540631
30720,hit,0,2.206501
6824,hit,0,2.722677
27830,miss,2.87247,3.533458
34058,hit,0,2.677514
32888,hit,0,4.961648
28836,hit,0,2.795995
10287,hit,0,3.194724
32779,miss,2.914502,3.036169
12873,hit,0,3.997505
34290,soft-hit,3.636006,3.728258
26710,miss,3.09537,10.92385
32083,miss,2.86,2.535698
30350,miss,4.05885,2.782258
5766,hit,0,3.151344
27302,soft-hit,3.507649,3.661618
1455,soft-hit,4.847993,6.543144
21741,miss,4.60939,3.06569
25113,hit,0,4.604648
28490,hit,0,3.360693
29514,miss,4.797422,5.398089
4889,hit,0,3.39151
10054,miss,3.561006,3.054177
34039,hit,0,12.335721
11383,hit,0,5.601305
11629,hit,0,3.823733
29156,miss,4.111066,1.964201
5131,hit,0,6.200124
9189,hit,0,3.452844
30743,miss,2.987508,4.596311
1455,hit,0,5.003463
21672,soft-hit,4.312198,5.864832
11282,miss,3.763785,2.486998
34290,hit,0,2.263034
29936,hit,0,2.804429
