Querier,No. of Policies,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,No. of Policies,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,No. of Policies,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
35302,28,soft-hit,445.589148,98.341072,371.985655,915.915875,0,false
1408,18,soft-hit,306.90621,95.039772,253.480289,655.426271,0,false
34058,used GE,hit,0,105.672157,0,105.672157,0,0
29864,60,soft-hit,874.397434,70.516321,739.050555,1683.96431,0,false
35397,used GE,hit,0,38.888261,0,38.888261,0,0
16776,41,soft-hit,617.271785,71.207085,519.447392,1207.926262,0,false
13797,used GE,hit,0,71.070569,0,71.070569,0,0
30414,15,miss,284.561651,70.28269,237.705123,0,592.549464,0
25956,used GE,hit,0,50.700994,0,50.700994,0,0
29260,55,soft-hit,818.972751,15.392776,694.596122,1528.961649,0,false
3980,32,soft-hit,498.599753,30.290661,415.38799,944.278404,0,false
16360,22,soft-hit,355.623241,29.222969,296.944004,681.790214,0,false
16622,58,soft-hit,855.40156,37.999155,718.975977,1612.3766919999998,0,false
19392,used GE,hit,0,29.337284,0,29.337284,0,0
16948,used GE,hit,0,55.909557,0,55.909557,0,0
24388,19,soft-hit,320.580106,27.169891,264.825735,612.575732,0,false
11595,used GE,hit,0,16.427771,0,16.427771,0,0
11374,33,soft-hit,561.628295,34.117886,431.316223,1027.062404,0,false
33850,30,miss,471.930292,31.888914,391.214544,0,895.03375,0
11629,23,miss,374.063758,22.962282,308.752573,0,705.778613,0
4494,33,soft-hit,517.648057,40.718731,432.161304,990.528092,0,false
30414,used GE,hit,0,61.667195,0,61.667195,0,0
30696,24,soft-hit,396.735043,45.545439,329.435838,771.71632,0,false
30250,57,miss,839.926032,165.019716,710.757613,0,1715.7033609999999,0
18306,38,miss,581.909064,14.763238,486.697281,0,1083.369583,0
13819,used GE,hit,0,86.404433,0,86.404433,0,0
26697,used GE,hit,0,80.29338,0,80.29338,0,0
13073,45,soft-hit,679.079074,79.198733,566.671185,1324.948992,0,false
30350,38,soft-hit,589.727099,100.962936,494.863464,1185.553499,0,false
24802,30,miss,471.461036,41.692087,391.765014,0,904.918137,0
11629,used GE,hit,0,25.357377,0,25.357377,0,0
2857,31,soft-hit,500.020272,42.585127,415.737689,958.343088,0,false
18306,used GE,hit,0,42.86458,0,42.86458,0,0
11650,31,soft-hit,490.882138,34.522991,408.929573,934.334702,0,false
299,used GE,hit,0,48.042101,0,48.042101,0,0
33728,26,soft-hit,423.781421,50.085948,350.947943,824.8153120000001,0,false
